step,distance,u,P[kPa],T,rho_g,m_dot,Re,h_g,tau_g,Q_gr,Sigma_Plos_gr,A_recieve_heat,mu_g
13,0.00806,0.002507192768366483,312.5380219122898,61.294323658916824,21.4441618294584,4.493188395080246e-07,12.999784131880244,19.552321705095913,8.295419920469296e-05,0.7309398784336347,0.03159217769280076,5.58e-06,1.240743236589168e-05
14,0.00868,0.0026860897447333505,312.53801970017787,61.297328956564115,21.44566447828205,4.838818271624881e-07,13.928002780654207,19.552758475020653,8.887542423043552e-05,0.7836886049154633,0.03380428964737803,5.58e-06,1.240773289565641e-05
15,0.0093,0.0028649856020315717,312.5380174881673,61.29997569198372,21.446987845991853,5.184448148169514e-07,14.856219396329838,19.553143133901635,9.479662502878953e-05,0.8364525212376128,0.03601630020420998,5.58e-06,1.240799756919837e-05
16,0.00992,0.003043847471284644,312.5380152762461,61.302325253766355,21.448395152259806,5.53007802471415e-07,15.784730016276553,19.55348460354738,0.00010071482512986629,0.8892299218504839,0.0382282214704901,5.58e-06,1.2408e-05
17,0.01054,0.0032227079632136876,312.5380130644695,61.3044256889861,21.449655413391657,5.875707901258783e-07,16.713243546645764,19.553789866799313,0.0001066329610868145,0.9420193769652037,0.04043999803252518,5.58e-06,1.2408e-05
18,0.01116,0.003401567511477713,312.53801085282294,61.306315153150194,21.450789091890112,6.221337777803418e-07,17.64175707701497,19.554064468924498,0.00011255106581977458,0.9948196757806114,0.042651644616853446,5.58e-06,1.2408e-05
19,0.01178,0.0035804262086959492,312.53800864129323,61.30802433995012,21.45181460397007,6.566967654348053e-07,18.570270607384177,19.554312870739416,0.00011846914239333156,1.0476297836562565,0.044863174320198596,5.58e-06,1.2408e-05
20,0.0124,0.003759284134293794,312.5380064298692,61.30957822676572,21.45274693605943,6.912597530892686e-07,19.498784137753386,19.554538702289953,0.00012438719343551308,1.1004488093039417,0.047074598318431526,5.58e-06,1.2408e-05
21,0.01302,0.003938141356912874,312.53800421854135,61.31099735098769,21.45359841059261,7.258227407437322e-07,20.4272976681226,19.554744948343544,0.00013030522121753316,1.153275979304818,0.04928592621581629,5.58e-06,1.2408e-05
22,0.01364,0.004116997936292505,312.5380020073012,61.31229875820799,21.454379254924785,7.603857283981955e-07,21.3558111984918,19.554934086192894,0.0001362232277160464,1.2061106180686465,0.051497166336048394,5.58e-06,1.2408e-05
23,0.01426,0.00429585392475626,312.5379997961416,61.31349671680766,21.455098030084585,7.94948716052659e-07,22.28432472886102,19.555108189509376,0.00014214121466233511,1.2589521318944326,0.053708325955085456,5.58e-06,1.2408e-05
24,0.01488,0.00447470936839936,312.537997585056,61.31460326354454,21.45576195812671,8.295117037071224e-07,23.212838259230224,19.555269007635136,0.00014805918358159798,1.311799996162434,0.055919411533977836,5.58e-06,1.2408e-05
25,0.0155,0.004653564308046543,312.53799537403887,61.315628625078375,21.456377175047006,8.640746913615859e-07,24.141351789599433,19.55541802684472,0.00015397713582464403,1.3646537449454803,0.05813042866066098,5.58e-06,1.2408e-05
26,0.01612,0.004832418780031814,312.53799316308516,61.3165815471977,21.4569489283186,8.986376790160492e-07,25.069865319968645,19.555556518192727,0.00015989507259369263,1.417512962509855,0.06034138239920139,5.58e-06,1.2408e-05
27,0.01674,0.005011272816838572,312.5379909521903,61.31746955453582,21.45748173272147,9.332006666705128e-07,25.998378850337843,19.5556855752592,0.00016581299496355468,1.4703772763067806,0.06255227723158896,5.58e-06,1.2408e-05
28,0.01736,0.0051901264476290525,312.5379887413504,61.31829915734528,21.45797949440714,9.677636543249762e-07,26.92689238070706,19.555806144200844,0.00017173090389915007,1.5232463511506549,0.06476311717415228,5.58e-06,1.2408e-05
29,0.01798,0.005368979698685435,312.5379865305617,61.3190760175284,21.458445610517014,1.0023266419794395e-06,27.855405911076268,19.55591904788079,0.00017764880027010366,1.576119884350188,0.06697390583576635,5.58e-06,1.2408e-05
30,0.0186,0.005547832593779781,312.5379843198211,61.31980508300893,21.45888304980533,1.0368896296339029e-06,28.783919441445473,19.55602500539729,0.00018356668486298538,1.6289976016107397,0.06918464647606015,5.58e-06,1.2408e-05
31,0.01922,0.005726685154486137,312.5379821091255,61.32049069728305,21.459294418369797,1.0714526172883664e-06,29.712315468974,19.55612464800513,0.0001894853077433295,1.681879253565398,0.07139534206362441,5.58e-06,1.24080490697283e-05
32,0.01984,0.005905537400445375,312.53797989846356,61.32113668934829,21.459682013608948,1.10601560494283e-06,30.640665804904362,19.556218532185277,0.00019540421157565894,1.7347646128221856,0.07360600400716066,5.58e-06,1.2408113668934825e-05
33,0.02046,0.006084389349591167,312.53797768783005,61.32174644799903,21.46004786879939,1.1405785925972933e-06,31.569015693060134,19.556307150442517,0.00020132310841783376,1.7876534714376653,0.07581663748715073,5.58e-06,1.2408174644799899e-05
34,0.02108,0.006263241018343735,312.53797547722337,61.32232298357542,21.460393790145222,1.1751415802517567e-06,32.49736515830026,19.556390940279623,0.00020724199865656124,1.8405456387449362,0.07802724419161677,5.58e-06,1.2408232298357537e-05
35,0.0217,0.006442092421776705,312.53797326664204,61.32286897957516,21.460721387745068,1.2097045679062202e-06,33.42571422343828,19.556470291698254,0.0002131608826468354,1.893440939477842,0.08023782551754266,5.58e-06,1.2408286897957511e-05
36,0.02232,0.006620943573761556,312.53797105608476,61.32338683602063,21.46103210161235,1.2442675555606835e-06,34.354062909462506,19.55654555350166,0.0002190797607153386,1.9463392121440717,0.08244838280370459,5.58e-06,1.2408338683602058e-05
37,0.02294,0.006799794487093067,312.5379688455502,61.32387870608147,21.461327223648855,1.2788305432151469e-06,35.28241123572701,19.55661703861717,0.0002249986331633966,1.9992403076084433,0.0846589173306711,5.58e-06,1.2408387870608143e-05
38,0.02356,0.006978645173598765,312.5379666350373,61.32434652714733,21.46160791628837,1.3133935308696106e-06,36.21075922011825,19.556685028612073,0.0002309175002695555,2.05214408785452,0.08686943020438775,5.58e-06,1.2408434652714729e-05
39,0.02418,0.007157495644234747,312.537964424545,61.32479204730993,21.461875228385928,1.347956518524074e-06,37.13910687920088,19.55674977754237,0.0002368363622918386,2.1050504248982125,0.0890799225308001,5.58e-06,1.2408479204730988e-05
40,0.0248,0.007336345909169874,312.5379622140723,61.32521684802788,21.462130108816698,1.382519506178537e-06,38.06745422834586,19.556811515246714,0.00024275521946972946,2.1579591998314562,0.09129039524123073,5.58e-06,1.2408521684802782e-05
41,0.02542,0.00751519597786,312.53796000361825,61.325622363602406,21.462373418161416,1.4170824938330009e-06,38.99580128184325,19.556870450176877,0.0002486740720259198,2.210870301977663,0.0935008492670022,5.58e-06,1.2408562236360235e-05
42,0.02604,0.007694045859113603,312.53795779318204,61.32600989797663,21.462605938785952,1.4516454814874644e-06,39.924148053002035,19.55692677183926,0.00025459292016785493,2.263783628143589,0.09571128548122942,5.58e-06,1.2408600989797659e-05
43,0.02666,0.007872895561149966,312.5379555827629,61.326380639278796,21.46282838356725,1.4862084691419278e-06,40.852494554238525,19.556980652908514,0.0002605117640891047,2.3166990819546625,0.097921704640612,5.58e-06,1.2408638063927874e-05
44,0.02728,0.008051745091651024,312.53795337236005,61.326735672455186,21.463041403473085,1.520771456796391e-06,41.78084079715509,19.55703225106348,0.0002664306039705837,2.36961657326282,0.10013210750184953,5.58e-06,1.2408673567245513e-05
45,0.0279,0.008230594457807548,312.5379511619728,61.327075990280605,21.463245594168338,1.5553344444508546e-06,42.70918679261033,19.557081710587443,0.0002723494399816393,2.4225360176175266,0.10234249476343393,5.58e-06,1.2408707599028056e-05
46,0.02852,0.008409443666360445,312.5379489516005,61.327402502984455,21.463441501790648,1.589897432105318e-06,43.63753255078175,19.55712916376707,0.00027826827228102436,2.4754573357920444,0.10455286700744182,5.58e-06,1.240874025029844e-05
47,0.02914,0.008588292723637765,312.5379467412426,61.32771604669193,21.463629628015134,1.6244604197597813e-06,44.565878081221875,19.557174732119222,0.0002841871010177688,2.5283804533581478,0.10676322493236512,5.58e-06,1.2408771604669189e-05
48,0.02976,0.008767141635588045,312.53794453089847,61.328017390846924,21.46381043450813,1.6590234074142449e-06,45.494223392908964,19.55721852746975,0.00029010592633196456,2.581305300303435,0.10897356906207278,5.58e-06,1.2408801739084688e-05
49,0.03038,0.00894599040781028,312.5379423205676,61.32830724475792,21.46398434685473,1.6935863950687082e-06,46.42256849429239,19.557260652904812,0.00029602474835547165,2.6342318106862104,0.11118389992043376,5.58e-06,1.2408830724475788e-05
50,0.031,0.009124839045581014,312.5379401102495,61.328586263385375,21.4641517580312,1.7281493827231718e-06,47.350913393333755,19.557301203612003,0.0003019435672125563,2.6871599223235796,0.113394218031317,5.58e-06,1.2408858626338532e-05
51,0.03162,0.009303687553878727,312.5379378999437,61.32885505247191,21.46431303148312,1.7627123703776353e-06,48.279258097543824,19.55734026762591,0.000307862383020465,2.7400895765089865,0.11560452386038378,5.58e-06,1.2408885505247186e-05
52,0.03224,0.009482535937406177,312.53793568964966,61.3291141730997,21.46446850385979,1.7972753580320984e-06,49.20760261401646,19.557377926490485,0.0003137811958899508,2.793020717755908,0.1178148178732954,5.58e-06,1.2408911417309964e-05
53,0.03286,0.009661384200610459,312.537933479367,61.32936414575005,21.464618487450004,1.831838345686562e-06,50.135946949458976,19.557414255849,0.00031970000592574586,2.845953293564843,0.12002510053571314,5.58e-06,1.2408936414575e-05
54,0.03348,0.009840232347701313,312.53793126909534,61.32960545392655,21.464763272355903,1.8664013333410255e-06,51.06429111021987,19.55744932597065,0.00032561881322699216,2.898887254211099,0.12223537219688296,5.58e-06,1.240896054539265e-05
55,0.0341,0.010019080382667937,312.5379290588343,61.329838547395696,21.464903128437392,1.9009643209954887e-06,51.99263510231434,19.557483202221505,0.0003315376178876382,2.9518225525511745,0.12444563320605084,5.58e-06,1.2408983854739564e-05
56,0.03472,0.010197928309294196,312.5379268485836,61.3300638450919,21.465038307055114,1.9355273086499524e-06,52.921006159626494,19.557515945486685,0.0003374562463734178,3.004759143845814,0.1266558839706704,5.58e-06,1.2409e-05
57,0.03534,0.010376776131172634,312.5379246383438,61.33028173772635,21.465169042635786,1.970090296304416e-06,53.84944486418135,19.55754761254956,0.00034337444003125657,3.0576969855980325,0.12886612373404205,5.58e-06,1.2409e-05
58,0.03596,0.010555623851717138,312.53792242811755,61.33049259013512,21.46529555408105,2.004653283958879e-06,54.77788356873618,19.55757825643297,0.0003492926303358879,3.110636037404622,0.13107634999323636,5.58e-06,1.2409e-05
59,0.03658,0.010734471474174829,312.5379202179043,61.33069674339521,21.4654180460371,2.0392162716133426e-06,55.70632227329104,19.557607926706766,0.00035521081739476115,3.1635762608197964,0.1332865632721223,5.58e-06,1.2409e-05
60,0.0372,0.010913319001636737,312.53791800770364,61.33089451673635,21.465536710041786,2.0737792592678058e-06,56.63476097784591,19.557636669765678,0.00036112900131016066,3.216517619229812,0.1354967639199458,5.58e-06,1.2409e-05
61,0.03782,0.011092166437047758,312.5379157975152,61.331086209270325,21.46565172556217,2.1083422469222693e-06,57.56319968240076,19.55766452908062,0.00036704718217953503,3.2694600777375076,0.13770695234416053,5.58e-06,1.2409e-05
62,0.03844,0.011271013783215765,312.5379135873386,61.33127210155823,21.465763260934914,2.142905234576733e-06,58.4916383869556,19.557691545426458,0.0003729653600957984,3.322403603055847,0.13991712895222008,5.58e-06,1.2409e-05
63,0.03906,0.011449861042820104,312.5379113771735,61.33145245703281,21.46587147421966,2.1774682222311964e-06,59.42007709151045,19.557717757088763,0.0003788835351476124,3.3753481634096176,0.14212729403516278,5.58e-06,1.2409e-05
64,0.03968,0.011628708218419319,312.53790916701956,61.33162752329184,21.465976513975082,2.21203120988566e-06,60.34851579606531,19.557743200051743,0.00038480170741964087,3.4282937284445523,0.14433744800044224,5.58e-06,1.2409e-05
65,0.0403,0.011807555312458362,312.5379069568764,61.33179753327562,21.466078519965347,2.246594197540123e-06,61.276954500620164,19.557767908169385,0.0003907198769927888,3.4812402691432145,0.14654759113909677,5.58e-06,1.2409e-05
66,0.04092,0.0119864023272753,312.5379047467437,61.33196270634045,21.466177623804246,2.2811571851945866e-06,62.205393205175014,19.557791913321473,0.0003966380439444245,3.5341877577470364,0.14875772380037233,5.58e-06,1.2409e-05
67,0.04154,0.012165249265107585,312.53790253662135,61.332123249238805,21.46627394954326,2.31572017284905e-06,63.13383190972986,19.557815245556036,0.0004025562083485867,3.5871361676839886,0.15096784621709958,5.58e-06,1.2409e-05
68,0.04216,0.01234409612809761,312.5379003265088,61.33227935701626,21.466367614209734,2.3502831605035133e-06,64.06227061428471,19.55783793321969,0.00040847437027616854,3.640085473501393,0.15317795873852447,5.58e-06,1.2409e-05
69,0.04278,0.012522942918298146,312.5378981164059,61.33243121383197,21.466458728299155,2.384846148157977e-06,64.99070931883956,19.557860003076907,0.00041439252979509774,3.693035650803448,0.15538806159747764,5.58e-06,1.2409e-05
70,0.0434,0.012701789637677381,312.53789590631243,61.33257899371091,21.466547396226524,2.4194091358124404e-06,65.91914802339441,19.557881480419315,0.00042031068697050296,3.7459866761930662,0.15759815508499742,5.58e-06,1.2409e-05
71,0.04402,0.012880636288123404,312.5378936962281,61.33272286123503,21.466633716740994,2.4539721234669035e-06,66.84758672794926,19.557902389166152,0.0004262288418648622,3.798938527217684,0.15980823943391442,5.58e-06,1.2409e-05
