step,distance,u,P[kPa],T,rho,m_dot,phase,x,P_loss_gas,P_loss_all_phase,Q_release_gas,Delta_T,G_in_gas,G_pipe_gas,R_insu_gas,G_ex_gas,h_in,P_loss_mix,LM_C,LM_X,Delta_P_2p,Q_release_mix,G_in_mix,G_pipe_mix,R_insu_mix,G_ex_mix,P_loss_liq,Q_release_liq,G_in_liq,G_pipe_liq,R_insu_liq,G_ex_liq
9,0.6749999999999999,0.359022114268546,312.5070747149697,52.14863205223202,-,0.000645688445485891,mix,0.5050300772899845,,5.4515691144624725,,6.961837794960957e-05,,,,,749.8519087150095,3.0350065500242636,20.0,0.07835289601842897,0.6137551179249972,219.26347199008748,2.488068437744217,51.52687613666788,0.0,3.6002651810139032,,,,,,
10,0.75,0.3054028008796561,312.5064833364367,52.1485638572189,-,0.00046722370355764005,mix,0.4296038550884397,,6.04294764745282,,6.819501311383647e-05,,,,,713.0635910137281,3.626385083014611,20.0,0.1030464566021202,0.591378532962613,252.929634557927,2.2194995458473414,51.52687613666788,0.0,3.6002651810139032,,,,,,
11,0.825,0.2530165633102002,312.50592351717665,52.14849814849299,-,0.0003206823279919364,mix,0.35591250720963924,,6.602766907482874,,6.57087259128275e-05,,,,,683.7118073105268,4.186204343044665,20.0,0.13439978435151334,0.5598192600451188,285.8214585723924,1.9500975229666848,51.52687613666788,0.0,3.6002651810139032,,,,,,
12,0.8999999999999999,0.2016955266232084,312.5055174180256,52.148435946353004,-,0.00020378303828076023,mix,0.28371987026135376,,7.008866058546118,,6.220213998631152e-05,,,,,659.2205382908287,4.5923034941079095,20.0,0.21636881285725362,0.4060991510550111,318.0443495499622,1.6775555279148493,51.52687613666788,0.0,3.6002651810139032,,,,,,
13,0.975,0.15132306661321243,312.5052527615819,52.14839082422509,-,0.00011470559227561162,mix,0.21286194783326007,,7.273522502218839,,4.512212791496495e-05,,,,,638.0506608846723,4.85695993778063,10.0,0.24427092554406732,0.26465644366283925,349.6714643462386,1.3993120986595344,51.52687613666788,0.0,3.6002651810139032,,,,,,
14,1.05,0.10181818877244604,312.50496368640154,52.148361417953595,-,5.1930713732371645e-05,mix,0.14322468700810412,,7.562597682583146,,2.94062714942811e-05,,,,,619.1971297139368,5.146035118144937,10.0,0.27499037264424186,0.28907518035581053,380.75370806125403,1.1119405355954888,51.52687613666788,0.0,3.6002651810139032,,,,,,
15,1.125,0.05312727995002315,312.50464564431394,52.1483292984891,-,1.4138647987671854e-05,mix,0.07473252860448662,,7.880639770184644,,3.211946449255265e-05,,,,,601.9364359729341,5.464077205746435,10.0,0.31120127862758307,0.31804208760358893,411.32485796148467,0.8098743990902136,51.52687613666788,0.0,3.6002651810139032,,,,,,
16,1.2,0.009915769695760827,312.5042873930491,52.14829396047935,-,2.5939542513938973e-07,mix,0.007346081091256132,,8.238891035027336,,3.533800975219492e-05,,,,,585.646339762722,5.822328470589127,10.0,0.3610605352437922,0.3582512648676956,441.40249843121194,0.48129500672242764,51.52687613666788,0.0,3.6002651810139032,,,,,,
17,1.275,0.009915769695760827,312.50404871600165,52.148254154783274,-,0.0,liq,0.0,,8.477568082511425,,3.980569607620055e-05,,,,,569.2934539188853,6.061005518073216,5.0,0.8536919933678078,0.23867704747095186,470.97345511907275,0.06991844281623819,51.52687613666788,0.0,3.6002651810139032,,,,,,
18,1.3499999999999999,0.009904985373327558,312.5040194971417,51.679126762738065,1195.3,0.0025315617655258184,liq,0.0,,8.506786942423787,,0.46912739204520904,,,,,,,,,,,,,,,0.02921885991236195,1.5170514011311997,0.06991845099472287,51.52687613666788,0.0,3.6002651810139032
19,1.425,0.009895051413905915,312.5039901470826,51.21890124849091,1196.5,0.002531561765525818,liq,0.0,,8.536137001530733,,0.4602255142471563,,,,,,,,,,,,,,,0.05856891901930794,3.0044044211548684,0.07003547370722733,51.52687613666788,0.0,3.6002651810139032
20,1.5,0.009885137360556424,312.5039606650069,50.76746719474204,1197.7,0.002531561765525818,liq,0.0,,8.565619077242445,,0.45143405374886925,,,,,,,,,,,,,,,0.08805099473102018,4.462545288437914,0.07015151532382977,51.52687613666788,0.0,3.6002651810139032
21,1.575,0.00987562980449651,312.5039310533721,50.32469393731458,1198.8530606268548,0.002531561765525818,liq,0.0,,8.59523071203148,,0.44277325742746143,,,,,,,,,,,,,,,0.1176626295200549,5.891926977866216,0.07026507324777763,51.52687613666788,0.0,3.6002651810139032
