step,distance,u,P[kPa],T,rho,m_dot,phase,x,h_in,P_loss_mix,LM_C,LM_X,Delta_P_2p,P_loss_all_phase,Q_release_mix,Delta_T,G_in_mix,G_pipe_mix,R_insu_mix,G_ex_mix
start,start,6.948911219571439,171.70834298776705,33.08156020500803,9.384768061502404,0.013944343634322664,,,,,,,,,,,,,,
0,0.0,3.223565193537435,171.68228912301078,33.080748790994335,-,0.0030006471984641834,mix,0.4638829707460719,533.1325178180904,26.053864756278927,20.0,0.0841432363957365,26.053864756287958,26.053864756278927,0.006332354171196574,0.0008114140136967762,46.17434977328179,103.05375227333576,485.4955599291535,1.1224910551276333
1,0.15,3.224188867916389,171.6507188474284,33.07625674534671,-,0.0030009463472149187,mix,0.46390609351651446,533.1331078196365,57.62414033865207,20.0,0.08414127935249344,31.570275582385612,57.62414033865207,0.012663040956435983,0.004492045647623399,24.9767513179124,103.05375227333576,485.4955599291535,1.1224910551276333
2,0.3,3.224948419412129,171.61914507501882,33.07081359438422,-,0.003001315529331581,mix,0.46393462794310586,533.1380254808867,89.19791274823365,20.0,0.08412719026946174,31.573772409579924,89.19791274823365,0.018984496984187204,0.005443150962491927,24.98042784849981,103.05375227333576,485.4955599291535,1.1224910551276333
3,0.44999999999999996,3.225708344278831,171.58756704770232,33.065369840520475,-,0.0030016848210883498,mix,0.4639631690881908,533.1440636837959,120.77594006471918,20.0,0.08410996716617215,31.578027316489198,120.77594006471918,0.02529476781729248,0.005443753863744405,24.984906287897815,103.05375227333576,485.4955599291535,1.1224910551276333
4,0.6,3.226468661413527,171.55598476359938,33.059925353052165,-,0.003002054232118356,mix,0.46399171769496833,533.1501051650739,152.35822416766314,20.0,0.08409274306054,31.582284102930064,152.35822416766314,0.03159385221673183,0.005444487468309944,24.989386751024544,103.05375227333576,485.4955599291535,1.1224910551276333
5,0.75,3.2272293711209614,171.5243982207252,33.054480131655055,-,0.0030024237624631227,mix,0.46402027376527005,533.1561500795968,183.94476704183035,20.0,0.08407551752291356,31.586542874164536,183.94476704183035,0.03788174867490145,0.005445221397110345,24.993869349177164,103.05375227333576,485.4955599291535,1.1224910551276333
6,0.8999999999999999,3.227990473708718,171.49280741709353,33.04903417598712,-,0.003002793412165493,mix,0.46404883730102847,533.1621984289465,215.53557067352813,20.0,0.08405829055334137,31.590803631701153,215.53557067352813,0.04415845568353111,0.0054459556679375964,24.99835408390559,103.05375227333576,485.4955599291535,1.1224910551276333
7,1.05,3.2287519692753555,171.46121235991683,33.043587485705814,-,0.003003163180878816,mix,0.4640774082740813,533.168320770134,247.13062785021611,20.0,0.08404108002259553,31.5950571766927,247.13062785021611,0.05042397173405865,0.00544669028130329,25.002825521585795,103.05375227333576,485.4955599291535,1.1224910551276333
8,1.2,3.2295138569305575,171.4296130899024,33.03814006205465,-,0.0030035330667216864,mix,0.46410598653769763,533.174773926943,278.7298978646286,20.0,0.0840239509563522,31.599270014409495,278.7298978646286,0.05667829531870894,0.005447423651162353,25.00722746863249,103.05375227333576,485.4955599291535,1.1224910551276333
9,1.3499999999999999,3.230276135929166,171.39800960509223,33.032691912052144,-,0.0030039030691943105,mix,0.464134572051919,533.1812306273199,310.33338267481304,20.0,0.08400682048877577,31.603484810197337,310.33338267481304,0.06292142493035217,0.005448150002507646,25.011631504850737,103.05375227333576,485.4955599291535,1.1224910551276333
10,1.5,3.231038806577086,171.36640190353248,33.027243035360755,-,0.003004273188338143,mix,0.4641631648186081,533.1876908637324,341.9410842345678,20.0,0.08398968864392713,31.60770155975774,341.9410842345678,0.0691533590762809,0.0054488766913891595,25.016037625678237,103.05375227333576,485.4955599291535,1.1224910551276333
