step,distance,u,P[kPa],T,rho_g,m_dot,Re,h_g,tau_g,Q_gr,Sigma_Plos_gr,A_recieve_heat,mu_g
start,start,0.0,173.23551171209422,33.34405374346454,9.463804230526286,5.8478713834415917e-08,0.0,48.57704594572043,0.0,0.0,0.0,1.86e-06,
0,0.0,0.0030213189168804585,173.23447056782146,57.53071902253589,19.35535951126793,0.0,4.769100785713253,57.22064,0.0002963793004703055,0.6353129294613497,1.0411442727490794,1.86e-06,1.2262e-05
1,0.00062,0.005708989252609394,173.23413862300495,59.60756403505064,20.486538421030374,5.8478713834415917e-08,9.476375601104507,58.008737919282076,0.0005636827628456411,1.3252892815726862,1.3730890892620664,1.86e-06,1.2342e-05
2,0.00124,0.008372808470972397,173.23382296065776,60.436803142371616,20.953081885422968,1.1695742766883183e-07,14.177803580349744,58.32668617007403,0.0008288410561584995,2.037025586618476,1.6887514364498202,1.86e-06,1.2374e-05
3,0.00186,0.01102625044295242,173.23351352666347,60.89560135898597,21.214360815391558,1.7543614150324776e-07,18.876279481735285,58.50492219251787,0.0010930983639125312,2.7607982295344797,1.9981854307407048,1.86e-06,1.2392e-05
4,0.00248,0.01367292727498292,173.2332074591216,61.19142524025881,21.38485514415528,2.3391485533766367e-07,23.574152163912476,58.620200000000004,0.0013566981256980318,3.4923309984176503,2.304252972622635,1.86e-06,1.240314252402588e-05
5,0.0031,0.016315851487736722,173.23290355874144,61.39998734515541,21.504993672577687,2.923935691720796e-07,28.268797839205593,58.69867448248774,0.0016200986241466536,4.229334563377925,2.608153352775844,1.86e-06,1.2411998734515539e-05
6,0.00372,0.018955425406236615,173.2326011403316,61.55575485804616,21.59545291482769,3.508722830064955e-07,32.96545266093761,58.757869118108125,0.0018830434067798542,4.970423879781271,2.910571762622567,1.86e-06,1.2417575485804615e-05
7,0.00434,0.02159253617757652,173.2322998533865,61.67711603891786,21.666269623350708,4.0935099684091145e-07,37.66138388949664,58.80642259296818,0.0021457798751828446,5.7146964280510915,3.2118587077129632,1.86e-06,1.2422e-05
8,0.00496,0.024227178388021648,173.23199944420398,61.774807461989326,21.723884477193575,4.6782971067532733e-07,42.35541803554992,58.844656053427336,0.0024083753491964555,6.4615313868544,3.5122678902407642,1.86e-06,1.2426e-05
