step,distance,u,P[kPa],T,rho,m_dot,phase,x,P_loss_gas,P_loss_all_phase,Q_release_gas,Delta_T,G_in_gas,G_pipe_gas,R_insu_gas,G_ex_gas,h_in,P_loss_mix,LM_C,LM_X,Delta_P_2p,Q_release_mix,G_in_mix,G_pipe_mix,R_insu_mix,G_ex_mix
start,start,1.4888976238027056,172.7407154666444,62.07613711694347,21.900068558471713,0.006972171817161329,,,,,,,,,,,,,,,,,,,,
0,0.0,1.5537810133157142,172.73829472734585,60.49426168529885,20.98555701117931,0.006972171817161329,gas,1.0,2.420739298540866,2.420739298540866,10.207531578406968,1.5818754316446189,0.3514648985772186,51.52687613666788,0.0,3.6002651810139032,,,,,,,,,,
1,0.075,1.6185619749392868,172.73577165077322,58.99127156412777,20.14563578206388,0.006972171817161329,gas,1.0,4.943815871170955,4.943815871170955,19.85640660958867,1.5029901211710808,0.3492558027135633,51.52687613666788,0.0,3.6002651810139032,,,,,,,,,,
2,0.15,1.6832037063387983,172.73314646568377,57.563271782682364,19.371963069609407,0.006972171817161329,gas,1.0,7.569000960618723,7.569000960618723,28.97995018846669,1.4279997814454077,0.3471657884508012,51.52687613666788,0.0,3.6002651810139032,,,,,,,,,,
3,0.22499999999999998,1.7474028373730262,172.73041948911373,56.20648425289829,18.660242126449127,0.006972171817161329,gas,1.0,10.295977530651726,10.295977530651726,37.60942145419029,1.3567875297840715,0.345194068980934,51.52687613666788,0.0,3.6002651810139032,,,,,,,,,,
4,0.3,1.8112302942743324,172.7275915087468,54.917316541913124,18.00265827095655,0.006972171817161329,gas,1.0,13.123957897594664,13.123957897594664,45.77414910072621,1.2891677109851685,0.3433411938678268,51.52687613666788,0.0,3.6002651810139032,,,,,,,,,,
5,0.375,1.8743752991139997,172.7246631756977,53.69234927310225,17.39617463655112,0.006972171817161329,gas,1.0,16.05229094668175,16.05229094668175,53.501433441151974,1.2249672688108717,0.34159720815355543,51.52687613666788,0.0,3.6002651810139032,,,,,,,,,,
6,0.44999999999999996,1.9369485842162004,172.72163562158454,52.52837953627926,16.834189768139616,0.006972171817161329,gas,1.0,19.07984505983768,19.07984505983768,60.81644696119825,1.1639697368229918,0.33993932559818674,51.52687613666788,0.0,3.6002651810139032,,,,,,,,,,
7,0.525,1.9986920500485992,172.71850984131845,51.4222981283005,16.31414906415024,0.006972171817161329,gas,1.0,22.205625325936126,22.205625325936126,67.74313890803214,1.1060814079787633,0.338382416969348,51.52687613666788,0.0,3.6002651810139032,,,,,,,,,,
8,0.6,2.0596113820393183,172.71528721528122,50.37121600489428,15.831608002447137,0.006972171817161329,gas,1.0,25.428251363162417,25.428251363162417,74.30356255588794,1.0510821234062178,0.3369024008425581,51.52687613666788,0.0,3.6002651810139032,,,,,,,,,,
