Q_load,HS,EC,CL ave.,wick,groove,VL,CL,LL,Cap.,converg_judge
1000,39.692719295202664,37.09028758301082,45.60502518466524,462.9874536907271,11.225179018365452,81.69560525906854,128.06096813300974,14.56598984572338,8887.443056504575,True
2000,50.04197727976299,44.83711385537924,48.675374173593696,895.8614810262128,20.83715156148537,250.72083397896495,378.4598726458207,28.38655714300694,8632.164243749263,True
3000,60.306698660423024,52.499403523847434,51.7474764957027,1311.863428620468,29.99627821406466,476.0296970194904,743.0212503632356,81.20470150053734,8386.777196575988,True
4000,70.88454456872319,60.474817719955695,54.887562024069155,1710.275341935818,74.32985267371987,737.461283180106,1139.2809762747784,136.39922267966904,8119.4697644762755,True
5000,60.69912677312254,47.68696821216321,43.121575380806064,2013.2498471431627,110.79998571996111,1095.413521722483,2277.5778329702443,8331.3191245677,9297.04561757883,False
6000,61.00543369199846,45.390843418847226,42.8197699770069,1848.3527908243043,95.86876886396203,948.0397985119489,1947.0934820290422,7096.800018342459,9344.708197680819,False
