lavel,val
Tec,47.68696821216321
Tev,27.468272839092606
T_ini_vl,56.571138665157605
T_ave_vl,56.40532294512627
T_ini_cl,56.23950722509488
T_ave_cl,43.121575380806064
T_ini_ll,30.003643536517245
T_ave_ll,30.00362213500125
T_ccin,25.01440298488751
T_ccc,31.05362945756673
T_hs,60.69912677312254
Q_load,5000.0
Q_ev,3962.8642931218387
Q_gr,112.1797714504106
Q_ec_wick_ccin,619.9586678767187
Q_ec_ccc,7.362090820560766
Q_ec_amb,35.38667104143917
Q_cc_ll,-129.61050138713048
Q_ccc_ccin,1.2566582881896315
eval_ec[%],5.244970113780637
eval_cc[%],15.016516551040777
P_cap.,9297.04561757883
P_loss_wick,2013.2498471431627
P_loss_gr,110.79998571996111
P_loss_vl,1095.413521722483
P_loss_cl,2277.5778329702443
P_loss_ll,8331.3191245677
