lavel,val
Tec_bt,54.59628009729994
Tec_up,53.91629880967997
Tev,52.00588687991194
T_ini_vl,61.18943532143862
T_ave_vl,60.315828085128885
T_ini_cl,59.44222084881915
T_ave_cl,44.87154045402633
T_ini_ll,30.300860059233514
T_ave_ll,30.296003984942104
T_ccin,51.99986845014996
T_ccc,32.3404547462726
T_hs,57.19871180949178
Q_load,1000.0
Q_ev_bt,507.71707060804766
Q_gr_bt,5.2864711644560725
Q_ev_up,374.4407382345342
Q_gr_up,3.8987662225022293
Q_btTOup,387.84432692623835
Q_ec_wick_ccin,1.139657166921718
Q_ec_ccc,9.850662572210501
Q_ec_amb,49.21026951626993
Q_cc_ll,135.55439287894308
Q_ccc_ccin,-3.711494831242459
eval_ec_bt[%],3.895154204585583
eval_ec_up[%],0.8365165302280217
eval_cc[%],13.812623054326382
P_cap.bt,7242.351933536477
P_cap.up,7242.351933536477
P_loss_wick_bt,333.5086154751401
P_loss_wick_up,245.96220890609828
P_loss_gr_bt,0.22274758497951552
P_loss_gr_up,0.16427608038065955
P_loss_vl,24.863009168591816
P_loss_cl,14.49463619303424
P_loss_ll,14.585474910971243
