step,distance,u,P[kPa],T,rho_g,m_dot,Re,h_g,tau_g,Q_gr,Sigma_Plos_gr,A_recieve_heat,mu_g
start,start,0.0,311.2029819192072,52.00588687991194,16.586943439955956,3.426560407068179e-08,0.0,18.386975559880533,0.0,0.0,0.0,5.58e-06,
0,0.0,0.00018063782704117812,311.2029791651425,60.65486954227441,21.076921725364627,0.0,0.9224211635176501,19.47101437347721,5.964654764739681e-06,0.04943370211656647,0.002754064742475748,5.58e-06,1.2382486954227437e-05
1,0.00062,0.0003588255475533143,311.202976938338,60.906396051156605,21.220837630693946,3.426560407068179e-08,1.8434260851453514,19.503209559434758,1.1857509827415123e-05,0.10031295686454125,0.004980869183782488,5.58e-06,1.2392e-05
2,0.00124,0.0005369450835825196,311.2029747249362,60.99589647206909,21.271948236034543,6.853120814136359e-08,2.7642468595257985,19.51476362060738,1.7749256682903765e-05,0.15170147096322328,0.007194271020125598,5.58e-06,1.2396e-05
3,0.00186,0.0007150387959243169,311.2029725161398,61.04227523306628,21.298365139839756,1.0279681221204539e-07,3.68529753998227,19.52005066720563,2.3638663042839918e-05,0.2033538070836937,0.009403067408129573,5.58e-06,1.2397227523306626e-05
4,0.00248,0.0008930854447906452,311.20297030986455,61.07074001927515,21.31537000963755,1.3706241628272717e-07,4.605963393644891,19.52418754946798,2.952897714655789e-05,0.255168036876668,0.011609342647716403,5.58e-06,1.2399e-05
5,0.0031,0.001071164722118109,311.20296810503424,61.090120092376765,21.32607205542604,1.7132802035340896e-07,5.527150718969027,19.527004120092087,3.541702467577111e-05,0.30709249873754246,0.013814172940328717,5.58e-06,1.2399012009237672e-05
6,0.00372,0.001249197247580249,311.2029659013083,61.104202302628494,21.334521381577087,2.0559362442409078e-07,6.447828722977758,19.52844,4.130678898665356e-05,0.3590970561731327,0.01601789891719818,5.58e-06,1.24e-05
7,0.00434,0.0014272252946299015,311.2029636982795,61.11488289258165,21.340929735548983,2.398592284947726e-07,7.368656947778233,19.5291496470552,4.7195441472509656e-05,0.4111623516194563,0.018220927682705224,5.58e-06,1.2400488289258163e-05
8,0.00496,0.0016052752076611456,311.2029614958256,61.123251826664784,21.34562591333239,2.7412483256545434e-07,8.289397001213237,19.53036593214195,5.308538093388232e-05,0.46327523322641395,0.020423381589353085,5.58e-06,1.2401e-05
9,0.00558,0.0017833561541695836,311.2029592937654,61.130021379635025,21.349012827781017,3.0839043663613616e-07,9.210441112459154,19.53134977384029,5.897439911428536e-05,0.5154266161197323,0.022625441837590188,5.58e-06,1.2401e-05
10,0.0062,0.0019613834224155254,311.2029570920545,61.13561514203951,21.352369085223696,3.426560407068179e-07,10.131485223705068,19.532162733976406,6.486164219033317e-05,0.5676098127791528,0.02482715272344649,5.58e-06,1.2401e-05
11,0.00682,0.0021394082533402418,311.2029548906896,61.140318502527464,21.355191101516454,3.769216447774997e-07,11.052500948131485,19.532846289033987,7.074898637430913e-05,0.6198197589580136,0.02702851756475866,5.58e-06,1.2401031850252742e-05
12,0.00744,0.002317431021989956,311.2029526896101,61.144330916991464,21.357598550194854,4.1118724884818156e-07,11.973155296517728,19.533429426602755,7.66385753702304e-05,0.6720525248804765,0.02922959713032469,5.58e-06,1.2401433091699143e-05
13,0.00806,0.002495452021845357,311.2029504887074,61.1477960826378,21.359677649582657,4.454528529188633e-07,12.893806968098101,19.53393303067669,8.252812266112629e-05,0.7243049980827846,0.03143049980280921,5.58e-06,1.2401779608263775e-05
14,0.00868,0.0026734714870367453,311.2029482879575,61.15082020899138,21.361492125394808,4.797184569895451e-07,13.814547682100384,19.534372537040078,8.841704901927924e-05,0.7765746701853218,0.03363124973839149,5.58e-06,1.2402e-05
15,0.0093,0.002851489607446551,311.2029460873554,61.15348353267041,21.363090119602226,5.139840610602269e-07,14.735517527573743,19.534759606748096,9.430446429747232e-05,0.828859489162504,0.03583185182651505,5.58e-06,1.2402e-05
16,0.00992,0.0030295065392753015,311.2029438869179,61.15584782514867,21.364508695089185,5.482496651309087e-07,15.656487373047105,19.53510321725494,0.00010019184026691276,0.881157754317152,0.038032289303373545,5.58e-06,1.2402e-05
17,0.01054,0.003207522412618243,311.2029416866265,61.157961433288335,21.365776859972986,5.825152692015905e-07,16.57745721852046,19.535410394971237,0.00010607918123011052,0.9334680399251709,0.04023258067900315,5.58e-06,1.2402e-05
18,0.01116,0.0033855373370160623,311.2029394864657,61.15986275075221,21.366917650451313,6.167808732722723e-07,17.498427063993816,19.535686719775985,0.00011196649080979521,0.9857891386251785,0.042432741494849324,5.58e-06,1.2402e-05
19,0.01178,0.003563577799999547,311.20293728642235,61.16158266287721,21.367791331438593,6.510464773429541e-07,18.419161856058874,19.535936680338153,0.00011785614898619677,1.0381200187140986,0.044632784847635776,5.58e-06,1.2402158266287717e-05
20,0.0124,0.0037416197889294333,311.20293508644096,61.16314630304578,21.368573151522877,6.853120814136359e-07,19.339876115437825,19.536163929375984,0.00012374598893140432,1.090459791432549,0.046832766267471015,5.58e-06,1.2402314630304575e-05
21,0.01302,0.003919661186904852,311.20293288651226,61.164574336958026,21.369287168479,7.195776854843177e-07,20.260589311569525,19.536371470304566,0.00012963581606692529,1.1428076855547782,0.04903269495116547,5.58e-06,1.24024574336958e-05
22,0.01364,0.00409770204420336,311.20293068663176,61.165883916729285,21.369941958364635,7.538432895549994e-07,21.18130153527243,19.53656179589799,0.00013552563148258934,1.1951630274051752,0.05123257543891668,5.58e-06,1.2402588391672927e-05
23,0.01426,0.004275742404854601,311.2029284867955,61.16708939993174,21.370544699965862,7.881088936256812e-07,22.102012866038063,19.53673699279008,0.00014141543613279485,1.2475252249644069,0.053432411747053266,5.58e-06,1.2402708939993171e-05
24,0.01488,0.004453782307641732,311.2029262869998,61.168202898583274,21.37110144929163,8.223744976963631e-07,23.022723373852628,19.53689882126077,0.00014730523085821576,1.2998937550979703,0.05563220742624253,5.58e-06,1.2402820289858326e-05
25,0.0155,0.004631821786909043,311.2029240872416,61.169234703301186,21.371617351650585,8.566401017670448e-07,23.943433120665013,19.53704877687977,0.00015319501640330814,1.3522681531971374,0.057831965561490506,5.58e-06,1.2402923470330117e-05
26,0.01612,0.0048098565158632405,311.2029218875183,61.17019361458233,21.37211616874939,8.909057058377266e-07,24.864180975258897,19.53718813865263,0.0001590844009766714,1.4046480047040586,0.060031688888557255,5.58e-06,1.2403e-05
27,0.01674,0.004987874220977505,311.2029196878328,61.17108720413978,21.37265232248386,9.251713099084086e-07,25.785076566935153,19.537318007001648,0.00016497227723409066,1.457032938123214,0.06223137443885207,5.58e-06,1.2403e-05
28,0.01736,0.005165891517739687,311.2029174882024,61.17192202296741,21.373153213780437,9.594369139790903e-07,26.705972158611406,19.537439334004596,0.00017086013998540088,1.509422619216227,0.06443100480828434,5.58e-06,1.2403e-05
29,0.01798,0.0053439084325815085,311.2029152886236,61.17270376840702,21.373622261044204,9.93702518049772e-07,27.626867750287666,19.537552947675152,0.00017674799010482253,1.5618167461468575,0.06663058360572904,5.58e-06,1.2403e-05
30,0.0186,0.0055219249894104625,311.20291308909304,61.17343741935838,21.37406245161502,1.0279681221204537e-06,28.547763341963922,19.537659571613414,0.0001826358283830879,1.6142150453949944,0.06883011414902285,5.58e-06,1.2403e-05
31,0.01922,0.005699941209923569,311.2029108896078,61.174127346515036,21.374476407909015,1.0622337261911357e-06,29.468658933640178,19.53775984102685,0.0001885236555378187,1.6666172682976024,0.07102959940675646,5.58e-06,1.2403e-05
32,0.01984,0.005877957113873787,311.20290869016515,61.17477740285432,21.374866441712584,1.0964993302618174e-06,30.389554525316434,19.537854315881493,0.00019441147222233753,1.7190231881043188,0.07322904205648229,5.58e-06,1.2403e-05
