step,distance,u,P[kPa],T,rho_g,m_dot,Re,h_g,tau_g,Q_gr,Sigma_Plos_gr,A_recieve_heat,mu_g
start,start,0.0,166.99112769371956,32.25709098167579,9.139684748612682,2.1154585462518906e-08,0.0,48.20663333440852,0.0,0.0,0.0,1.86e-06,
0,0.0,0.0011274203537983472,166.99089280437911,56.40741449317966,18.763707246589817,0.0,1.731286149645544,56.79659271902632,0.00011020759442449605,0.22881691730949222,0.23488934044144116,1.86e-06,1.2219e-05
1,0.00062,0.0021294714263486838,166.99076937187334,58.484782002831196,19.86839100141559,2.1154585462518906e-08,3.4401956271357075,57.580244953234406,0.00020951406332060066,0.4773561996516561,0.3583218462008517,1.86e-06,1.2298478200283118e-05
2,0.00124,0.0031226746495783926,166.9906520439979,59.31420837602326,20.323525025613943,4.230917092503781e-08,5.146925415069399,57.89827485194613,0.00030803114054571163,0.7337462039982523,0.4756497216585558,1.86e-06,1.2330420837602324e-05
3,0.00186,0.004111882151305422,166.99053704570542,59.773300525308684,20.57898031518519,6.346375638755672e-08,6.852614198851332,58.07227902903457,0.00040619902353144,0.9944805866566155,0.5906480141275097,1.86e-06,1.2348330052530865e-05
4,0.00248,0.00509884421957032,166.99042330997884,60.068981721237265,20.744490860618612,8.461834185007563e-08,8.557750706324812,58.18811603045943,0.0005041695627952865,1.2580127164738455,0.7043837407254614,1.86e-06,1.2359898172123722e-05
5,0.0031,0.006083997281476624,166.99031037599676,60.277532733497935,20.862519640098743,1.0577292731259453e-07,10.262573801351344,58.26596427180509,0.0006019750270184231,1.5235181022493343,0.8173177228018176,1.86e-06,1.2368e-05
6,0.00372,0.00706803289996649,166.99019800732503,60.433272248547496,20.950963349128497,1.2692751277511343e-07,11.967197206855694,58.32514670036671,0.0006996787128334827,1.790496977391125,0.9296863945201039,1.86e-06,1.2374e-05
7,0.00434,0.008051308161985364,166.99008605873098,60.55462451965474,21.019774711792838,1.4808209823763234e-07,13.671866304629745,58.37369629056947,0.0007973025261787117,2.058623982557537,1.041634988563601,1.86e-06,1.2378462451965474e-05
8,0.00496,0.00903381881377401,166.98997443637734,60.65231933682679,21.075391602096058,1.6923668370015125e-07,15.376167251782752,58.41193123085647,0.0008948707183921272,2.3276752995540804,1.153257342230063,1.86e-06,1.2382231933682676e-05
9,0.00558,0.010015564174017983,166.98986307468792,60.73285210592093,21.121711263552548,1.9039126916267016e-07,17.080418498903175,58.44268351818152,0.000992364950721607,2.597488538470679,1.2646190316299908,1.86e-06,1.238528521059209e-05
10,0.0062,0.010997028319755292,166.98975192981345,60.80050329379742,21.160301976278443,2.1154585462518907e-07,18.784266603747245,58.46781943609567,0.001089853922389943,2.8679418141576374,1.3757639061077498,1.86e-06,1.2388050329379742e-05
11,0.00682,0.011978288394916346,166.9896409628686,60.85821639909261,21.19292983945556,2.3270044008770795e-07,20.488702627136956,58.48862235000438,0.0011872879457041083,3.138941094170974,1.4867308509419672,1.86e-06,1.239e-05
12,0.00744,0.012958794615844399,166.989530149327,60.90808532612266,21.22185119567358,2.5385502555022686e-07,22.19251218630938,58.510365202189476,0.0012846830630363505,3.41041215913175,1.5975443925417494,1.86e-06,1.2392e-05
13,0.00806,0.013939058499640531,166.98941946894004,60.95178868990121,21.247073213940695,2.7500961101274577e-07,23.895771863423004,58.52505986879691,0.001382085528356358,3.682296711304581,1.7082247795187868,1.86e-06,1.2394e-05
14,0.00868,0.014919197835237832,166.98930890209775,60.99031679720804,21.269158398604013,2.961641964752647e-07,25.598481924635657,58.5418581235827,0.001479507010924865,3.954545746225704,1.8187916218012106,1.86e-06,1.2396e-05
15,0.0093,0.01589912221426119,166.98919843224093,61.024680756054465,21.28880845363266,3.1731878193778354e-07,27.302844833451843,58.55248080963973,0.0015768113447215677,4.227119903498325,1.9292614786245394,1.86e-06,1.2397e-05
16,0.00992,0.0168789815395449,166.9890880554468,61.055431718512125,21.30625903110727,3.384733674003025e-07,29.006932800679255,58.56588822927129,0.0016741249050182213,4.499984960405035,2.0396382727485616,1.86e-06,1.2398e-05
17,0.01054,0.01785872056613083,166.98897776015895,61.08323052775097,21.32193831665056,3.596279528628214e-07,30.710745892841388,58.578008510099416,0.0017714422103956495,4.773113024207364,2.1499335606058594,1.86e-06,1.2399e-05
18,0.01116,0.018837475715734575,166.98886753708808,61.10850183089457,21.33710109853673,3.807825383253403e-07,32.414284176440255,58.58532,0.0018686775910008702,5.046480181343081,2.2601566314697266,1.86e-06,1.24e-05
19,0.01178,0.019817031804640232,166.98875738346166,61.131505208019234,21.34990312481154,4.0193712378785923e-07,34.11754771795646,58.59469627069639,0.0019660080912747486,5.320064941374872,2.3703102578874677,1.86e-06,1.2401e-05
20,0.0124,0.02079555346005147,166.98864728700855,61.15260290040692,21.362561740244132,4.2309170925037814e-07,35.82053658384914,58.60389486457741,0.002063251632092467,5.5938493012820265,2.48040671099443,1.86e-06,1.2402e-05
21,0.01302,0.021774946646271057,166.9885372469215,61.172045198376,21.37322711902559,4.4424629471289705e-07,37.52325084055599,58.61237170649193,0.002160597306029599,5.867817604817474,2.5904467980435584,1.86e-06,1.2403e-05
22,0.01364,0.022753230213696397,166.98842725287685,61.1900286221815,21.3840171733089,4.654008801754159e-07,39.22884409872008,58.620200000000004,0.0022576670357214793,6.141956049285805,2.700440842716489,1.86e-06,1.240300286221815e-05
23,0.01426,0.023732132982137583,166.98831731430815,61.20671887458167,21.393359437290815,4.865554656379349e-07,40.931155361210386,58.6231294293176,0.0023549870200834768,6.416252399659115,2.810379411414033,1.86e-06,1.2404e-05
24,0.01488,0.02471063777146363,166.98820741491386,61.22217703917494,21.402306223504947,5.077100511004537e-07,42.6331831167249,58.62986918908027,0.002452283692440051,6.690694960352508,2.9202788056863938,1.86e-06,1.2405e-05
25,0.0155,0.02568866939741083,166.98809755260444,61.23660967380482,21.410965804282885,5.288646365629726e-07,44.338510441393915,58.6361618177789,0.002549343550999051,6.9652740674402525,3.030141115101287,1.86e-06,1.2405e-05
26,0.01612,0.02666661384356899,166.98798773472842,61.250120418184,21.419060209092,5.500192220254915e-07,46.04012634918672,58.64205250232823,0.0026466080907465352,7.239980998817885,3.1399589911452495,1.86e-06,1.2406e-05
27,0.01674,0.027645722698399825,166.98787794950388,61.26279909846687,21.425679459080094,5.711738074880105e-07,47.74531621397142,58.64758040693154,0.0027437826863707855,7.514807882250575,3.24974421566003,1.86e-06,1.2406e-05
28,0.01736,0.028623511349971657,166.98776819819642,61.27472398268242,21.43283438960943,5.923283929505294e-07,49.448623163719084,58.65277965644952,0.002840934428039528,7.789747586016686,3.359495523123769,1.86e-06,1.2406472398268238e-05
29,0.01798,0.02960121505443366,166.98765847934953,61.285963604789686,21.439578162873797,6.134829784130482e-07,51.15157281176489,58.655080000000005,0.0029380982014428673,8.064793626809815,3.469214370008558,1.86e-06,1.2407e-05
30,0.0186,0.03057980414270688,166.98754879035005,61.29653953895183,21.44526976947591,6.346375638755671e-07,52.85383939420802,58.657931238983004,0.0030353890222447784,8.339939702239105,3.5789033695182297,1.86e-06,1.2407653953895182e-05
31,0.01922,0.03155794616319479,166.98743912468214,61.306520462280616,21.450912277368367,6.557921493380861e-07,54.557280367553595,58.66228292155435,0.003132567967943367,8.615180190388761,3.688569037418347,1.86e-06,1.2408e-05
