step,distance,u,P[kPa],T,rho,m_dot,phase,x,P_loss_gas,P_loss_all_phase,Q_release_gas,Delta_T,G_in_gas,G_pipe_gas,R_insu_gas,G_ex_gas
start,start,0.053208262956289255,174.17194202626865,167.1076819152447,832.4512605127932,0.01608069065896725,,,,,,,,,,
0,0.0,0.05320829348478686,174.17169822298297,167.1076799955395,832.4507828901399,0.01608069065896725,gas,1.0,0.24380328570259735,0.24380328570259735,0.32305179799190525,1.9197051983610436e-06,317.1768266635079,90.46181748049385,423.55360010093545,1.1818671562804803
1,0.15,0.05320832401335384,174.1714544195943,167.10767807583215,832.450305266949,0.016080690658967247,gas,1.0,0.487606674345443,0.487606674345443,0.646103591458543,1.9197073584109603e-06,317.1765522039251,90.46181748049385,423.55360010093545,1.1818671562804803
2,0.3,0.053208354541991125,174.17121061610274,167.10767615612258,832.4498276432067,0.01608069065896725,gas,1.0,0.731410165928537,0.731410165928537,0.9691553803999082,1.919709575304296e-06,317.1762777439275,90.46181748049385,423.55360010093545,1.1818671562804803
3,0.44999999999999996,0.053208385070698694,174.17096681250823,167.1076742364108,832.4493500189128,0.016080690658967254,gas,1.0,0.9752137604518794,0.9752137604518794,1.2922071648159956,1.9197117921976314e-06,317.17600328350744,90.46181748049385,423.55360010093545,1.1818671562804803
4,0.6,0.05320841559947564,174.1707230088107,167.10767231669683,832.4488723940815,0.01608069065896725,gas,1.0,1.2190174579445738,1.2190174579445738,1.6152589447068,1.919713952247548e-06,317.1757288226648,90.46181748049385,423.55360010093545,1.1818671562804803
5,0.75,0.05320844612832288,174.17047920501028,167.10767039698067,832.4483947686986,0.016080690658967254,gas,1.0,1.4628212583775166,1.4628212583775166,1.9383107200723162,1.9197161691408837e-06,317.17545436140756,90.46181748049385,423.55360010093545,1.1818671562804803
6,0.8999999999999999,0.05320847665724039,174.1702354011069,167.10766847726228,832.4479171427643,0.016080690658967254,gas,1.0,1.7066251617507078,1.7066251617507078,2.261362490912539,1.9197183860342193e-06,317.17517989972765,90.46181748049385,423.55360010093545,1.1818671562804803
7,1.05,0.053208507186228195,174.1699915971006,167.10766655754168,832.4474395162781,0.01608069065896725,gas,1.0,1.9504291680641472,1.9504291680641472,2.584414257227463,1.919720602927555e-06,317.1749054376251,90.46181748049385,423.55360010093545,1.1818671562804803
8,1.2,0.05320853771528539,174.16974779299133,167.1076646378189,832.4469618892547,0.01608069065896725,gas,1.0,2.194233277346939,2.194233277346939,2.9074660190170833,1.9197227629774716e-06,317.1746309750999,90.46181748049385,423.55360010093545,1.1818671562804803
9,1.3499999999999999,0.05320856824441286,174.1695039887791,167.10766271809393,832.4464842616798,0.01608069065896725,gas,1.0,2.438037489569979,2.438037489569979,3.2305177762813946,1.919724979870807e-06,317.17435651216033,90.46181748049385,423.55360010093545,1.1818671562804803
10,1.5,0.05320859877361063,174.16926018446392,167.10766079836674,832.4460066335532,0.01608069065896725,gas,1.0,2.681841804733267,2.681841804733267,3.553569529020392,1.9197271967641427e-06,317.1740820487979,90.46181748049385,423.55360010093545,1.1818671562804803
11,1.65,0.053208629302877786,174.16901638004583,167.10765887863738,832.4455290048893,0.016080690658967254,gas,1.0,2.9256462228368036,2.9256462228368036,3.8766212772340696,1.9197293568140594e-06,317.173807585013,90.46181748049385,423.55360010093545,1.1818671562804803
12,1.7999999999999998,0.05320865983221522,174.16877257552477,167.1076569589058,832.4450513756738,0.01608069065896725,gas,1.0,3.1694507439096924,3.1694507439096924,4.199673020922423,1.919731573707395e-06,317.1735331208135,90.46181748049385,423.55360010093545,1.1818671562804803
