lavel,val
Tec,44.74265025077875
Tev,35.192248998748596
T_ini_vl,64.58088866702633
T_ave_vl,64.1485504104188
T_ini_cl,63.71621215381123
T_ave_cl,48.65126000887153
T_ini_ll,33.58630786393178
T_ave_ll,33.5573695367151
T_ccin,35.08088531727532
T_ccc,31.171909038114222
T_hs,49.9475136751625
Q_load,2000.0
Q_ev,1871.8786453979108
Q_gr,55.863082587625044
Q_ec_wick_ccin,28.12847193446811
Q_ec_ccc,6.006552910632823
Q_ec_amb,29.49591520973806
Q_cc_ll,19.54616613442784
Q_ccc_ccin,-0.7842704807385851
eval_ec[%],0.43136659798126403
eval_cc[%],0.3899017659650843
P_cap.,8638.387559835437
P_loss_wick,894.4355700114709
P_loss_gr,20.82430983131053
P_loss_vl,250.1597806654754
P_loss_cl,381.16050008509774
P_loss_ll,28.310234552103793
