step,distance,u,P[kPa],T,rho,m_dot,phase,x,P_loss_gas,P_loss_all_phase,Q_release_gas,Delta_T,G_in_gas,G_pipe_gas,R_insu_gas,G_ex_gas,h_in,P_loss_mix,LM_C,LM_X,Delta_P_2p,Q_release_mix,G_in_mix,G_pipe_mix,R_insu_mix,G_ex_mix,P_loss_liq,Q_release_liq,G_in_liq,G_pipe_liq,R_insu_liq,G_ex_liq
start,start,1.0275795154987852,183.99095970174423,63.71621215381123,22.88234850766784,0.0050277514941395735,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0.0,1.0787357316915382,183.9896506236838,61.900355121426685,21.797213072855993,0.0050277514941395735,gas,1.0,1.3090780604397878,1.3090780604397878,8.495335438019284,1.8158570323845424,0.2723588585531312,51.52687613666788,0.0,3.6002651810139032,,,,,,,,,,,,,,,,
1,0.075,1.129956042583612,183.98827834783918,60.18359485215149,20.809156911290888,0.0050277514941395735,gas,1.0,2.6813539050344843,2.6813539050344843,16.47925771302951,1.7167602692751984,0.27038648582191044,51.52687613666788,0.0,3.6002651810139032,,,,,,,,,,,,,,,,
2,0.15,1.1810257252219867,183.98684285465168,58.56055238641403,19.909331431848415,0.0050277514941395735,gas,1.0,4.116847092547687,4.116847092547687,23.985555527214565,1.6230424657374556,0.26853292799820433,51.52687613666788,0.0,3.6002651810139032,,,,,,,,,,,,,,,,
3,0.22499999999999998,1.2318687820913623,183.98534439591748,57.0260189792084,19.087611387525023,0.0050277514941395735,gas,1.0,5.615305826766416,5.615305826766416,31.045868885865282,1.534533407205629,0.26680470731921957,51.52687613666788,0.0,3.6002651810139032,,,,,,,,,,,,,,,,
4,0.3,1.2823940867694235,183.9837832887449,55.575149431479645,18.3355747157398,0.0050277514941395735,gas,1.0,7.176412999338936,7.176412999338936,37.68905743817488,1.4508695477287574,0.26517705494035704,51.52687613666788,0.0,3.6002651810139032,,,,,,,,,,,,,,,,
5,0.375,1.332459102338915,183.9821600008603,54.203289755324874,17.646644877662414,0.0050277514941395735,gas,1.0,8.799700883944752,8.799700883944752,43.942181265204056,1.3718596761547701,0.26365641202641893,51.52687613666788,0.0,3.6002651810139032,,,,,,,,,,,,,,,,
6,0.44999999999999996,1.3819205614343575,183.9804751414385,52.90607849970485,17.01503924985241,0.0050277514941395735,gas,1.0,10.484560305747436,10.484560305747436,49.830161973545515,1.2972112556200273,0.2622289230646957,51.52687613666788,0.0,3.6002651810139032,,,,,,,,,,,,,,,,
7,0.525,1.4308071674335945,183.9787295059442,51.67936763439502,16.433683817197508,0.005027751494139573,gas,1.0,12.230195800046204,12.230195800046204,55.376202198433276,1.2267108653098262,0.2608920167286649,51.52687613666788,0.0,3.6002651810139032,,,,,,,,,,,,,,,,
8,0.6,1.478951261764657,183.97692383933725,50.51930099486157,15.89872039794461,0.0050277514941395735,gas,1.0,14.035862406977685,14.035862406977685,60.60161020122833,1.1600666395334542,0.25962746439078616,51.52687613666788,0.0,3.6002651810139032,,,,,,,,,,,,,,,,
9,0.6749999999999999,1.5262648236144414,183.97505908669115,49.42216703088275,15.405866812353093,0.0050277514941395735,gas,1.0,15.900615053076763,15.900615053076763,65.52639168176731,1.0971339639788198,0.25843962149660377,51.52687613666788,0.0,3.6002651810139032,,,,,,,,,,,,,,,,
10,0.75,1.572721354062652,183.9731363531789,48.38448437845301,14.950793751381196,0.0050277514941395735,gas,1.0,17.82334856534726,17.82334856534726,70.16920992294396,1.0376826524297371,0.25732697641963836,51.52687613666788,0.0,3.6002651810139032,,,,,,,,,,,,,,,,
11,0.825,1.6182456133694791,183.97115668065197,47.40300028055458,14.530200112221818,0.0050277514941395735,gas,1.0,19.80302109225886,19.80302109225886,74.547206317932,0.9814840978984307,0.2562704813436654,51.52687613666788,0.0,3.6002651810139032,,,,,,,,,,,,,,,,
12,0.8999999999999999,1.6628039655685904,183.9691212742868,46.47458160413447,14.140832641653779,0.0050277514941395735,gas,1.0,21.83842745743459,21.83842745743459,78.6766225765558,0.9284186764201081,0.25528226713569974,51.52687613666788,0.0,3.6002651810139032,,,,,,,,,,,,,,,,
13,0.975,1.706279107508284,183.96703133427118,45.5963281700449,13.780531268017949,0.005027751494139573,gas,1.0,23.928367473039543,23.928367473039543,82.57240559803975,0.8782534340895722,0.2543455214449015,51.52687613666788,0.0,3.6002651810139032,,,,,,,,,,,,,,,,
14,1.05,1.7487063754153447,183.9648882177813,44.765467015437196,13.446186806174861,0.0050277514941395735,gas,1.0,26.071483962936327,26.071483962936327,86.24864825262713,0.8308611546077032,0.2534661739520381,51.52687613666788,0.0,3.6002651810139032,,,,,,,,,,,,,,,,
15,1.125,1.7900318575909502,183.9626932371085,43.979405194481274,13.135762077792501,0.0050277514941395735,gas,1.0,28.26646463572979,28.26646463572979,89.71840085137494,0.786061820955922,0.25263264994146684,51.52687613666788,0.0,3.6002651810139032,,,,,,,,,,,,,,,,
16,1.2,1.8302290272219948,183.96044777117746,43.23565603847328,12.847262415389308,0.005027751494139573,gas,1.0,30.511930566775845,30.511930566775845,92.99402146605082,0.7437491560079934,0.2518544502581867,51.52687613666788,0.0,3.6002651810139032,,,,,,,,,,,,,,,,
17,1.275,1.8692955154048856,183.9581532187454,42.53191730013958,12.578766920055822,0.0050277514941395735,gas,1.0,32.80648299882887,32.80648299882887,96.08689341053166,0.7037387383336977,0.251114840087177,51.52687613666788,0.0,3.6002651810139032,,,,,,,,,,,,,,,,
18,1.3499999999999999,1.907102777674943,183.95581100758264,41.86599948340256,12.32939979336102,0.0050277514941395735,gas,1.0,35.14869416158763,35.14869416158763,99.00772842398554,0.6659178167370214,0.25041563355658353,51.52687613666788,0.0,3.6002651810139032,,,,,,,,,,,,,,,,
19,1.425,1.943780972822129,183.95342266040188,41.23583352196499,12.096750056589494,0.0050277514941395735,gas,1.0,37.537041342351586,37.537041342351586,101.76657921204806,0.6301659614375694,0.24975640056584728,51.52687613666788,0.0,3.6002651810139032,,,,,,,,,,,,,,,,
20,1.5,1.9792808034815965,183.95098957921337,40.63946526993931,11.879786107975708,0.005027751494139573,gas,1.0,39.97012253085268,39.97012253085268,104.37286344846747,0.5963682520256839,0.2491348861571396,51.52687613666788,0.0,3.6002651810139032,,,,,,,,,,,,,,,,
21,1.575,2.013649986671584,183.9485132321347,40.07505176994499,11.677020707977979,0.0050277514941395735,gas,1.0,42.446469609538326,42.446469609538326,106.83538646279257,0.5644134999943162,0.24854662433134997,51.52687613666788,0.0,3.6002651810139032,,,,,,,,,,,,,,,,
22,1.65,2.046737226663938,183.94599499513603,39.540839275737085,11.48825178272112,0.0050277514941395735,gas,1.0,44.96470660821069,44.96470660821069,109.16249353241435,0.5342124942079067,0.24799943103956396,51.52687613666788,0.0,3.6002651810139032,,,,,,,,,,,,,,,,
23,1.7249999999999999,2.078794918680221,183.9434364554787,39.03522040148124,11.311088160592487,0.0050277514941395735,gas,1.0,47.523246265540365,47.523246265540365,111.36179273083756,0.5056188742558447,0.24746580455118836,51.52687613666788,0.0,3.6002651810139032,,,,,,,,,,,,,,,,
24,1.7999999999999998,2.109652726873608,183.94083887813025,38.556603287545954,11.14564131501838,0.0050277514941395735,gas,1.0,50.120823613979155,50.120823613979155,113.44072721980643,0.47861711393528594,0.2469795852492585,51.52687613666788,0.0,3.6002651810139032,,,,,,,,,,,,,,,,
25,1.875,2.1394478402407007,183.93820374053848,38.10355264162257,10.990421056649021,0.0050277514941395735,gas,1.0,52.7559612057521,52.7559612057521,115.40602007182704,0.4530506459233834,0.246506269644887,51.52687613666788,0.0,3.6002651810139032,,,,,,,,,,,,,,,,
26,1.95,2.1680558685072198,183.93553234917695,37.67466586206791,10.845399758620369,0.005027751494139574,gas,1.0,55.427352567290654,55.427352567290654,117.26417947488801,0.42888677955465937,0.24606906893330585,51.52687613666788,0.0,3.6002651810139032,,,,,,,,,,,,,,,,
27,2.025,2.195548455190717,183.93282613791186,37.26864671306953,10.709594013920848,0.0050277514941395735,gas,1.0,58.13356383237988,58.13356383237988,119.02119998809832,0.4060191489983822,0.24564981912064443,51.52687613666788,0.0,3.6002651810139032,,,,,,,,,,,,,,,,
28,2.1,2.2219628973573426,183.93008650214543,36.88426526180825,10.58227957854247,0.005027751494139573,gas,1.0,60.87319959880551,60.87319959880551,120.68274493725573,0.38438145126127665,0.24525031452708568,51.52687613666788,0.0,3.6002651810139032,,,,,,,,,,,,,,,,
29,2.175,2.247311064067057,183.92731474970424,36.52034864131252,10.462918538046257,0.0050277514941395735,gas,1.0,63.64495203999104,63.64495203999104,122.25418321661991,0.36391662049572915,0.24487570970487543,51.52687613666788,0.0,3.6002651810139032,,,,,,,,,,,,,,,,
30,2.25,2.2717734166108277,183.92451218145553,36.17579471374847,10.3502543083995,0.0050277514941395735,gas,1.0,66.44752028869698,66.44752028869698,123.7405389724782,0.3445539275640499,0.2445204498380394,51.52687613666788,0.0,3.6002651810139032,,,,,,,,,,,,,,,,
31,2.3249999999999997,2.295145447824554,183.92167989566795,35.8495472509444,10.2448551203022,0.0050277514941395735,gas,1.0,69.27980607628706,69.27980607628706,125.14660763147063,0.32624746280407635,0.24419559458817808,51.52687613666788,0.0,3.6002651810139032,,,,,,,,,,,,,,,,
32,2.4,2.317506600126546,183.91881922323967,35.54063933126952,10.146004586006242,0.0050277514941395735,gas,1.0,72.14047850455972,72.14047850455972,126.47676893439767,0.30890791967487985,0.24387520726953388,51.52687613666788,0.0,3.6002651810139032,,,,,,,,,,,,,,,,
33,2.475,2.338852457511431,183.91593138415035,35.2481427659751,10.053405685112033,0.0050277514941395735,gas,1.0,75.0283175938821,75.0283175938821,127.73521658943811,0.2924965652944138,0.24357020800868628,51.52687613666788,0.0,3.6002651810139032,,,,,,,,,,,,,,,,
34,2.55,2.359425784393463,183.91301763702572,34.97115820810478,9.965743677344893,0.0050277514941395735,gas,1.0,77.94206471851794,77.94206471851794,128.92597559953228,0.27698455787032117,0.24329549388983404,51.52687613666788,0.0,3.6002651810139032,,,,,,,,,,,,,,,,
