step,distance,u,P[kPa],T,rho,m_dot,phase,x,P_loss_liq,P_loss_all_phase,Q_release_liq,Delta_T,G_in_liq,G_pipe_liq,R_insu_liq,G_ex_liq
start,start,0.0017575535248609,214.3037686186297,30.000000000000057,1250.6,0.0004699858190643779,,,,,,,,,,
0,0.0,0.0017575535248609,214.30375500286738,30.000000000000057,1250.6,0.0004699858190643779,liq,0.0,0.0136157623201143,0.0136157623201143,1.1530123714621005e-16,0.0,0.15144468360045174,103.05375227333576,485.4955599291535,1.1224910551276333
1,0.15,0.0017575535248609,214.30374138710505,30.000000000000057,1250.6,0.0004699858190643779,liq,0.0,0.0272315246402286,0.0272315246402286,2.306024742924201e-16,0.0,0.15144468360045174,103.05375227333576,485.4955599291535,1.1224910551276333
2,0.3,0.0017575535248609,214.30372777134275,30.000000000000057,1250.6,0.0004699858190643779,liq,0.0,0.0408472869603429,0.0408472869603429,3.4590371143863013e-16,0.0,0.15144468360045174,103.05375227333576,485.4955599291535,1.1224910551276333
3,0.44999999999999996,0.0017575535248609,214.30371415558042,30.000000000000057,1250.6,0.0004699858190643779,liq,0.0,0.0544630492804572,0.0544630492804572,4.612049485848402e-16,0.0,0.15144468360045174,103.05375227333576,485.4955599291535,1.1224910551276333
4,0.6,0.0017575535248609,214.3037005398181,30.000000000000057,1250.6,0.0004699858190643779,liq,0.0,0.0680788116005715,0.0680788116005715,5.765061857310503e-16,0.0,0.15144468360045174,103.05375227333576,485.4955599291535,1.1224910551276333
5,0.75,0.0017575535248609,214.30368692405577,30.000000000000057,1250.6,0.0004699858190643779,liq,0.0,0.0816945739206858,0.0816945739206858,6.918074228772604e-16,0.0,0.15144468360045174,103.05375227333576,485.4955599291535,1.1224910551276333
6,0.8999999999999999,0.0017575535248609,214.30367330829347,30.000000000000057,1250.6,0.0004699858190643779,liq,0.0,0.0953103362408001,0.0953103362408001,8.071086600234704e-16,0.0,0.15144468360045174,103.05375227333576,485.4955599291535,1.1224910551276333
7,1.05,0.0017575535248609,214.30365969253114,30.000000000000057,1250.6,0.0004699858190643779,liq,0.0,0.1089260985609144,0.1089260985609144,9.224098971696804e-16,0.0,0.15144468360045174,103.05375227333576,485.4955599291535,1.1224910551276333
8,1.2,0.0017575535248609,214.3036460767688,30.000000000000057,1250.6,0.0004699858190643779,liq,0.0,0.1225418608810287,0.1225418608810287,1.0377111343158904e-15,0.0,0.15144468360045174,103.05375227333576,485.4955599291535,1.1224910551276333
9,1.3499999999999999,0.0017575535248609,214.3036324610065,30.000000000000057,1250.6,0.0004699858190643779,liq,0.0,0.136157623201143,0.136157623201143,1.1530123714621004e-15,0.0,0.15144468360045174,103.05375227333576,485.4955599291535,1.1224910551276333
10,1.5,0.0017575535248609,214.3036188452442,30.000000000000057,1250.6,0.0004699858190643779,liq,0.0,0.1497733855212573,0.1497733855212573,1.2683136086083104e-15,0.0,0.15144468360045174,103.05375227333576,485.4955599291535,1.1224910551276333
11,1.65,0.0017575535248609,214.30360522948186,30.000000000000057,1250.6,0.0004699858190643779,liq,0.0,0.1633891478413716,0.1633891478413716,1.3836148457545203e-15,0.0,0.15144468360045174,103.05375227333576,485.4955599291535,1.1224910551276333
12,1.7999999999999998,0.0017575535248609,214.30359161371953,30.000000000000057,1250.6,0.0004699858190643779,liq,0.0,0.1770049101614859,0.1770049101614859,1.4989160829007303e-15,0.0,0.15144468360045174,103.05375227333576,485.4955599291535,1.1224910551276333
13,1.95,0.0017575535248609,214.3035779979572,30.000000000000057,1250.6,0.0004699858190643779,liq,0.0,0.1906206724816002,0.1906206724816002,1.6142173200469403e-15,0.0,0.15144468360045174,103.05375227333576,485.4955599291535,1.1224910551276333
14,2.1,0.0017575535248609,214.3035643821949,30.000000000000057,1250.6,0.0004699858190643779,liq,0.0,0.2042364348017145,0.2042364348017145,1.7295185571931503e-15,0.0,0.15144468360045174,103.05375227333576,485.4955599291535,1.1224910551276333
15,2.25,0.0017575535248609,214.30355076643258,30.000000000000057,1250.6,0.0004699858190643779,liq,0.0,0.2178521971218288,0.2178521971218288,1.8448197943393605e-15,0.0,0.15144468360045174,103.05375227333576,485.4955599291535,1.1224910551276333
16,2.4,0.0017575535248609,214.30353715067025,30.000000000000057,1250.6,0.0004699858190643779,liq,0.0,0.2314679594419431,0.2314679594419431,1.9601210314855704e-15,0.0,0.15144468360045174,103.05375227333576,485.4955599291535,1.1224910551276333
17,2.55,0.0017575535248609,214.30352353490792,30.000000000000057,1250.6,0.0004699858190643779,liq,0.0,0.2450837217620574,0.2450837217620574,2.0754222686317804e-15,0.0,0.15144468360045174,103.05375227333576,485.4955599291535,1.1224910551276333
18,2.6999999999999997,0.0017575535248609,214.30350991914563,30.000000000000057,1250.6,0.0004699858190643779,liq,0.0,0.2586994840821717,0.2586994840821717,2.1907235057779904e-15,0.0,0.15144468360045174,103.05375227333576,485.4955599291535,1.1224910551276333
19,2.85,0.0017575535248609,214.3034963033833,30.000000000000057,1250.6,0.0004699858190643779,liq,0.0,0.272315246402286,0.272315246402286,2.3060247429242004e-15,0.0,0.15144468360045174,103.05375227333576,485.4955599291535,1.1224910551276333
20,3.0,0.0017575535248609,214.30348268762097,30.000000000000057,1250.6,0.0004699858190643779,liq,0.0,0.2859310087224003,0.2859310087224003,2.4213259800704103e-15,0.0,0.15144468360045174,103.05375227333576,485.4955599291535,1.1224910551276333
21,3.15,0.0017575535248609,214.30346907185864,30.000000000000057,1250.6,0.0004699858190643779,liq,0.0,0.2995467710425146,0.2995467710425146,2.5366272172166203e-15,0.0,0.15144468360045174,103.05375227333576,485.4955599291535,1.1224910551276333
22,3.3,0.0017575535248609,214.30345545609634,30.000000000000057,1250.6,0.0004699858190643779,liq,0.0,0.3131625333626289,0.3131625333626289,2.6519284543628303e-15,0.0,0.15144468360045174,103.05375227333576,485.4955599291535,1.1224910551276333
