T,P_sat,rho_l,rho_g,Cp_l,Cp_g,lambda,k_l,k_g,mu_l,mu_g
250,15259,1372.6,0.96834,1220,746.41,216630,0.089406,0.0069686,0.0010251,9.31E-06
250.05,15301,1372.5,0.97083,1220,746.48,216610,0.08939,0.0069722,0.001024,9.31E-06
250.1,15343,1372.4,0.97333,1220,746.56,216580,0.089374,0.0069758,0.0010229,9.31E-06
250.15,15385,1372.3,0.97584,1220,746.64,216560,0.089358,0.0069794,0.0010218,9.31E-06
250.2,15427,1372.2,0.97835,1220,746.71,216530,0.089342,0.006983,0.0010208,9.31E-06
250.25,15470,1372.1,0.98086,1220,746.79,216510,0.089326,0.0069866,0.0010197,9.32E-06
250.3,15512,1371.9,0.98339,1220,746.87,216480,0.08931,0.0069901,0.0010187,9.32E-06
250.35,15555,1371.8,0.98591,1220,746.94,216460,0.089294,0.0069937,0.0010176,9.32E-06
250.4,15598,1371.7,0.98844,1220,747.02,216430,0.089278,0.0069973,0.0010165,9.32E-06
250.45,15640,1371.6,0.99098,1220,747.1,216410,0.089262,0.0070009,0.0010155,9.32E-06
250.5,15683,1371.5,0.99352,1220.1,747.17,216380,0.089246,0.0070045,0.0010144,9.33E-06
250.55,15726,1371.4,0.99607,1220.1,747.25,216350,0.08923,0.0070081,0.0010134,9.33E-06
250.6,15769,1371.3,0.99862,1220.1,747.32,216330,0.089214,0.0070117,0.0010123,9.33E-06
250.65,15812,1371.2,1.0012,1220.1,747.4,216300,0.089198,0.0070153,0.0010113,9.33E-06
250.7,15856,1371.1,1.0037,1220.1,747.48,216280,0.089182,0.0070189,0.0010102,9.33E-06
250.75,15899,1371,1.0063,1220.1,747.55,216250,0.089166,0.0070225,0.0010092,9.33E-06
250.8,15943,1370.9,1.0089,1220.1,747.63,216230,0.08915,0.0070261,0.0010081,9.34E-06
250.85,15986,1370.8,1.0115,1220.1,747.71,216200,0.089134,0.0070297,0.0010071,9.34E-06
250.9,16030,1370.6,1.014,1220.1,747.78,216180,0.089118,0.0070333,0.0010061,9.34E-06
250.95,16074,1370.5,1.0166,1220.1,747.86,216150,0.089103,0.0070369,0.001005,9.34E-06
251,16117,1370.4,1.0192,1220.1,747.94,216130,0.089087,0.0070405,0.001004,9.34E-06
251.05,16161,1370.3,1.0218,1220.1,748.01,216100,0.089071,0.0070441,0.001003,9.35E-06
251.1,16206,1370.2,1.0244,1220.1,748.09,216080,0.089055,0.0070476,0.0010019,9.35E-06
251.15,16250,1370.1,1.027,1220.1,748.17,216050,0.089039,0.0070512,0.0010009,9.35E-06
251.2,16294,1370,1.0297,1220.1,748.25,216020,0.089023,0.0070548,0.00099987,9.35E-06
251.25,16338,1369.9,1.0323,1220.1,748.32,216000,0.089007,0.0070584,0.00099885,9.35E-06
251.3,16383,1369.8,1.0349,1220.1,748.4,215970,0.088991,0.007062,0.00099782,9.35E-06
251.35,16427,1369.7,1.0375,1220.1,748.48,215950,0.088975,0.0070656,0.0009968,9.36E-06
251.4,16472,1369.6,1.0402,1220.1,748.55,215920,0.088959,0.0070692,0.00099578,9.36E-06
251.45,16517,1369.4,1.0428,1220.1,748.63,215900,0.088943,0.0070728,0.00099476,9.36E-06
251.5,16562,1369.3,1.0455,1220.1,748.71,215870,0.088927,0.0070764,0.00099374,9.36E-06
251.55,16607,1369.2,1.0481,1220.1,748.78,215850,0.088911,0.00708,0.00099273,0.000009364
251.6,16652,1369.1,1.0508,1220.1,748.86,215820,0.088895,0.0070836,0.00099171,9.37E-06
251.65,16697,1369,1.0535,1220.1,748.94,215800,0.088879,0.0070872,0.0009907,9.37E-06
251.7,16742,1368.9,1.0561,1220.1,749.01,215770,0.088863,0.0070908,0.00098969,9.37E-06
251.75,16787,1368.8,1.0588,1220.1,749.09,215750,0.088848,0.0070944,0.00098868,9.37E-06
251.8,16833,1368.7,1.0615,1220.1,749.17,215720,0.088832,0.007098,0.00098767,9.37E-06
251.85,16878,1368.6,1.0642,1220.2,749.25,215700,0.088816,0.0071016,0.00098667,9.38E-06
251.9,16924,1368.5,1.0669,1220.2,749.32,215670,0.0888,0.0071052,0.00098567,0.000009377
251.95,16970,1368.4,1.0696,1220.2,749.4,215640,0.088784,0.0071088,0.00098466,9.38E-06
252,17016,1368.2,1.0723,1220.2,749.48,215620,0.088768,0.0071123,0.00098366,9.38E-06
252.05,17062,1368.1,1.075,1220.2,749.55,215590,0.088752,0.0071159,0.00098267,9.38E-06
252.1,17108,1368,1.0777,1220.2,749.63,215570,0.088736,0.0071195,0.00098167,9.38E-06
252.15,17154,1367.9,1.0804,1220.2,749.71,215540,0.08872,0.0071231,0.00098067,9.39E-06
252.2,17200,1367.8,1.0831,1220.2,749.79,215520,0.088704,0.0071267,0.00097968,9.39E-06
252.25,17246,1367.7,1.0859,1220.2,749.86,215490,0.088688,0.0071303,0.00097869,9.39E-06
252.3,17293,1367.6,1.0886,1220.2,749.94,215470,0.088673,0.0071339,0.0009777,9.39E-06
252.35,17339,1367.5,1.0913,1220.2,750.02,215440,0.088657,0.0071375,0.00097671,9.39E-06
252.4,17386,1367.4,1.0941,1220.2,750.09,215420,0.088641,0.0071411,0.00097573,9.40E-06
252.45,17433,1367.3,1.0968,1220.2,750.17,215390,0.088625,0.0071447,0.00097474,9.40E-06
252.5,17480,1367.2,1.0996,1220.2,750.25,215370,0.088609,0.0071483,0.00097376,9.40E-06
252.55,17527,1367,1.1024,1220.2,750.33,215340,0.088593,0.0071519,0.00097278,0.000009401
252.6,17574,1366.9,1.1051,1220.2,750.4,215310,0.088577,0.0071555,0.0009718,9.40E-06
252.65,17621,1366.8,1.1079,1220.2,750.48,215290,0.088561,0.0071591,0.00097082,9.40E-06
252.7,17668,1366.7,1.1107,1220.2,750.56,215260,0.088545,0.0071627,0.00096984,9.41E-06
252.75,17716,1366.6,1.1135,1220.2,750.64,215240,0.088529,0.0071663,0.00096887,9.41E-06
252.8,17763,1366.5,1.1163,1220.2,750.71,215210,0.088514,0.0071699,0.0009679,9.41E-06
252.85,17811,1366.4,1.1191,1220.2,750.79,215190,0.088498,0.0071735,0.00096692,9.41E-06
252.9,17859,1366.3,1.1219,1220.3,750.87,215160,0.088482,0.0071771,0.00096595,0.000009414
252.95,17906,1366.2,1.1247,1220.3,750.95,215140,0.088466,0.0071807,0.00096499,9.42E-06
253,17954,1366.1,1.1275,1220.3,751.02,215110,0.08845,0.0071843,0.00096402,9.42E-06
253.05,18002,1366,1.1303,1220.3,751.1,215090,0.088434,0.0071879,0.00096306,9.42E-06
253.1,18050,1365.8,1.1331,1220.3,751.18,215060,0.088418,0.0071915,0.00096209,9.42E-06
253.15,18099,1365.7,1.136,1220.3,751.26,215040,0.088402,0.007195,0.00096113,9.42E-06
253.2,18147,1365.6,1.1388,1220.3,751.33,215010,0.088386,0.0071986,0.00096017,9.43E-06
253.25,18195,1365.5,1.1416,1220.3,751.41,214990,0.088371,0.0072022,0.00095921,9.43E-06
253.3,18244,1365.4,1.1445,1220.3,751.49,214960,0.088355,0.0072058,0.00095826,9.43E-06
253.35,18293,1365.3,1.1473,1220.3,751.57,214930,0.088339,0.0072094,0.0009573,9.43E-06
253.4,18341,1365.2,1.1502,1220.3,751.64,214910,0.088323,0.007213,0.00095635,9.43E-06
253.45,18390,1365.1,1.1531,1220.3,751.72,214880,0.088307,0.0072166,0.0009554,9.43E-06
253.5,18439,1365,1.1559,1220.3,751.8,214860,0.088291,0.0072202,0.00095444,9.44E-06
253.55,18488,1364.9,1.1588,1220.3,751.88,214830,0.088275,0.0072238,0.0009535,0.000009438
253.6,18538,1364.8,1.1617,1220.3,751.96,214810,0.088259,0.0072274,0.00095255,9.44E-06
253.65,18587,1364.6,1.1646,1220.3,752.03,214780,0.088244,0.007231,0.0009516,9.44E-06
253.7,18636,1364.5,1.1675,1220.3,752.11,214760,0.088228,0.0072346,0.00095066,9.44E-06
253.75,18686,1364.4,1.1704,1220.3,752.19,214730,0.088212,0.0072382,0.00094972,9.45E-06
253.8,18735,1364.3,1.1733,1220.4,752.27,214710,0.088196,0.0072418,0.00094878,9.45E-06
253.85,18785,1364.2,1.1762,1220.4,752.35,214680,0.08818,0.0072454,0.00094784,9.45E-06
253.9,18835,1364.1,1.1791,1220.4,752.42,214660,0.088164,0.007249,0.0009469,0.000009451
253.95,18885,1364,1.182,1220.4,752.5,214630,0.088148,0.0072526,0.00094596,9.45E-06
254,18935,1363.9,1.185,1220.4,752.58,214610,0.088133,0.0072562,0.00094503,9.45E-06
254.05,18985,1363.8,1.1879,1220.4,752.66,214580,0.088117,0.0072598,0.0009441,9.46E-06
254.1,19035,1363.7,1.1909,1220.4,752.73,214550,0.088101,0.0072634,0.00094316,9.46E-06
254.15,19086,1363.6,1.1938,1220.4,752.81,214530,0.088085,0.007267,0.00094223,9.46E-06
254.2,19136,1363.4,1.1968,1220.4,752.89,214500,0.088069,0.0072706,0.00094131,9.46E-06
254.25,19187,1363.3,1.1997,1220.4,752.97,214480,0.088053,0.0072742,0.00094038,9.46E-06
254.3,19237,1363.2,1.2027,1220.4,753.05,214450,0.088037,0.0072778,0.00093945,9.47E-06
254.35,19288,1363.1,1.2056,1220.4,753.13,214430,0.088022,0.0072814,0.00093853,9.47E-06
254.4,19339,1363,1.2086,1220.4,753.2,214400,0.088006,0.007285,0.00093761,9.47E-06
254.45,19390,1362.9,1.2116,1220.4,753.28,214380,0.08799,0.0072886,0.00093669,9.47E-06
254.5,19441,1362.8,1.2146,1220.4,753.36,214350,0.087974,0.0072922,0.00093577,9.47E-06
254.55,19493,1362.7,1.2176,1220.4,753.44,214330,0.087958,0.0072958,0.00093485,0.000009475
254.6,19544,1362.6,1.2206,1220.5,753.52,214300,0.087942,0.0072994,0.00093393,9.48E-06
254.65,19595,1362.5,1.2236,1220.5,753.59,214280,0.087927,0.007303,0.00093302,9.48E-06
254.7,19647,1362.4,1.2266,1220.5,753.67,214250,0.087911,0.0073066,0.00093211,9.48E-06
254.75,19699,1362.2,1.2296,1220.5,753.75,214220,0.087895,0.0073102,0.00093119,9.48E-06
254.8,19751,1362.1,1.2326,1220.5,753.83,214200,0.087879,0.0073138,0.00093028,9.48E-06
254.85,19802,1362,1.2357,1220.5,753.91,214170,0.087863,0.0073174,0.00092938,9.49E-06
254.9,19854,1361.9,1.2387,1220.5,753.99,214150,0.087847,0.0073209,0.00092847,9.49E-06
254.95,19907,1361.8,1.2417,1220.5,754.06,214120,0.087832,0.0073245,0.00092756,9.49E-06
255,19959,1361.7,1.2448,1220.5,754.14,214100,0.087816,0.0073281,0.00092666,9.49E-06
255.05,20011,1361.6,1.2478,1220.5,754.22,214070,0.0878,0.0073317,0.00092576,9.49E-06
255.1,20064,1361.5,1.2509,1220.5,754.3,214050,0.087784,0.0073353,0.00092485,9.50E-06
255.15,20116,1361.4,1.254,1220.5,754.38,214020,0.087768,0.0073389,0.00092395,9.50E-06
255.2,20169,1361.3,1.257,1220.5,754.46,214000,0.087752,0.0073425,0.00092306,0.000009499
255.25,20222,1361.1,1.2601,1220.5,754.53,213970,0.087737,0.0073461,0.00092216,9.50E-06
255.3,20275,1361,1.2632,1220.5,754.61,213950,0.087721,0.0073497,0.00092126,9.50E-06
255.35,20328,1360.9,1.2663,1220.6,754.69,213920,0.087705,0.0073533,0.00092037,9.50E-06
255.4,20381,1360.8,1.2694,1220.6,754.77,213900,0.087689,0.0073569,0.00091948,9.51E-06
255.45,20434,1360.7,1.2725,1220.6,754.85,213870,0.087673,0.0073605,0.00091859,9.51E-06
255.5,20488,1360.6,1.2756,1220.6,754.93,213840,0.087658,0.0073641,0.0009177,9.51E-06
255.55,20541,1360.5,1.2787,1220.6,755.01,213820,0.087642,0.0073677,0.00091681,9.51E-06
255.6,20595,1360.4,1.2818,1220.6,755.08,213790,0.087626,0.0073713,0.00091592,9.51E-06
255.65,20648,1360.3,1.285,1220.6,755.16,213770,0.08761,0.0073749,0.00091504,9.52E-06
255.7,20702,1360.2,1.2881,1220.6,755.24,213740,0.087594,0.0073785,0.00091415,9.52E-06
255.75,20756,1360.1,1.2912,1220.6,755.32,213720,0.087578,0.0073821,0.00091327,9.52E-06
255.8,20810,1359.9,1.2944,1220.6,755.4,213690,0.087563,0.0073857,0.00091239,9.52E-06
255.85,20864,1359.8,1.2975,1220.6,755.48,213670,0.087547,0.0073893,0.00091151,0.000009523
255.9,20919,1359.7,1.3007,1220.6,755.56,213640,0.087531,0.0073929,0.00091063,9.52E-06
255.95,20973,1359.6,1.3038,1220.6,755.64,213620,0.087515,0.0073965,0.00090975,9.53E-06
256,21028,1359.5,1.307,1220.7,755.71,213590,0.0875,0.0074001,0.00090888,9.53E-06
256.05,21082,1359.4,1.3102,1220.7,755.79,213570,0.087484,0.0074037,0.000908,9.53E-06
256.1,21137,1359.3,1.3134,1220.7,755.87,213540,0.087469,0.0074073,0.00090713,9.53E-06
256.15,21192,1359.2,1.3166,1220.7,755.95,213520,0.087453,0.0074109,0.00090626,9.53E-06
256.2,21247,1359.1,1.3198,1220.7,756.03,213490,0.087438,0.0074145,0.00090539,9.54E-06
256.25,21302,1359,1.323,1220.7,756.11,213460,0.087422,0.0074181,0.00090452,9.54E-06
256.3,21357,1358.8,1.3262,1220.7,756.19,213440,0.087406,0.0074217,0.00090366,9.54E-06
256.35,21412,1358.7,1.3294,1220.7,756.27,213410,0.087391,0.0074253,0.00090279,9.54E-06
256.4,21468,1358.6,1.3326,1220.7,756.35,213390,0.087375,0.0074289,0.00090193,9.54E-06
256.45,21523,1358.5,1.3358,1220.7,756.43,213360,0.08736,0.0074325,0.00090106,9.55E-06
256.5,21579,1358.4,1.339,1220.7,756.5,213340,0.087344,0.0074361,0.0009002,0.000009547
256.55,21635,1358.3,1.3423,1220.7,756.58,213310,0.087328,0.0074397,0.00089934,9.55E-06
256.6,21691,1358.2,1.3455,1220.8,756.66,213290,0.087313,0.0074433,0.00089848,9.55E-06
256.65,21747,1358.1,1.3488,1220.8,756.74,213260,0.087297,0.0074469,0.00089763,9.55E-06
256.7,21803,1358,1.352,1220.8,756.82,213240,0.087281,0.0074505,0.00089677,9.55E-06
256.75,21859,1357.9,1.3553,1220.8,756.9,213210,0.087266,0.0074541,0.00089591,9.56E-06
256.8,21916,1357.7,1.3586,1220.8,756.98,213190,0.08725,0.0074577,0.00089506,9.56E-06
256.85,21972,1357.6,1.3618,1220.8,757.06,213160,0.087234,0.0074613,0.00089421,9.56E-06
256.9,22029,1357.5,1.3651,1220.8,757.14,213140,0.087219,0.0074649,0.00089336,9.56E-06
256.95,22086,1357.4,1.3684,1220.8,757.22,213110,0.087203,0.0074685,0.00089251,9.56E-06
257,22142,1357.3,1.3717,1220.8,757.3,213080,0.087187,0.0074721,0.00089166,9.57E-06
257.05,22199,1357.2,1.375,1220.8,757.38,213060,0.087172,0.0074757,0.00089081,9.57E-06
257.1,22257,1357.1,1.3783,1220.8,757.45,213030,0.087156,0.0074793,0.00088997,9.57E-06
257.15,22314,1357,1.3816,1220.8,757.53,213010,0.08714,0.0074829,0.00088913,0.000009571
257.2,22371,1356.9,1.3849,1220.9,757.61,212980,0.087125,0.0074865,0.00088828,9.57E-06
257.25,22429,1356.8,1.3883,1220.9,757.69,212960,0.087109,0.0074901,0.00088744,9.57E-06
257.3,22486,1356.6,1.3916,1220.9,757.77,212930,0.087093,0.0074937,0.0008866,9.58E-06
257.35,22544,1356.5,1.3949,1220.9,757.85,212910,0.087078,0.0074973,0.00088576,9.58E-06
257.4,22602,1356.4,1.3983,1220.9,757.93,212880,0.087062,0.0075009,0.00088493,9.58E-06
257.45,22660,1356.3,1.4016,1220.9,758.01,212860,0.087046,0.0075046,0.00088409,0.000009582
257.5,22718,1356.2,1.405,1220.9,758.09,212830,0.087031,0.0075082,0.00088326,9.58E-06
257.55,22776,1356.1,1.4084,1220.9,758.17,212810,0.087015,0.0075118,0.00088242,9.59E-06
257.6,22834,1356,1.4117,1220.9,758.25,212780,0.086999,0.0075154,0.00088159,9.59E-06
257.65,22893,1355.9,1.4151,1220.9,758.33,212760,0.086984,0.007519,0.00088076,9.59E-06
257.7,22951,1355.8,1.4185,1220.9,758.41,212730,0.086968,0.0075226,0.00087993,9.59E-06
257.75,23010,1355.7,1.4219,1221,758.49,212700,0.086952,0.0075262,0.0008791,9.59E-06
257.8,23069,1355.5,1.4253,1221,758.57,212680,0.086937,0.0075298,0.00087828,9.59E-06
257.85,23128,1355.4,1.4287,1221,758.65,212650,0.086921,0.0075334,0.00087745,9.60E-06
257.9,23187,1355.3,1.4321,1221,758.73,212630,0.086906,0.007537,0.00087663,9.60E-06
257.95,23246,1355.2,1.4355,1221,758.81,212600,0.08689,0.0075406,0.0008758,9.60E-06
258,23305,1355.1,1.4389,1221,758.89,212580,0.086874,0.0075442,0.00087498,9.60E-06
258.05,23364,1355,1.4424,1221,758.97,212550,0.086859,0.0075478,0.00087416,9.60E-06
258.1,23424,1354.9,1.4458,1221,759.05,212530,0.086843,0.0075514,0.00087334,0.000009606
258.15,23484,1354.8,1.4492,1221,759.13,212500,0.086827,0.007555,0.00087252,9.61E-06
258.2,23543,1354.7,1.4527,1221,759.21,212480,0.086812,0.0075586,0.00087171,9.61E-06
258.25,23603,1354.6,1.4561,1221.1,759.29,212450,0.086796,0.0075622,0.00087089,9.61E-06
258.3,23663,1354.4,1.4596,1221.1,759.36,212430,0.08678,0.0075658,0.00087008,9.61E-06
258.35,23723,1354.3,1.4631,1221.1,759.44,212400,0.086765,0.0075694,0.00086926,9.62E-06
258.4,23784,1354.2,1.4665,1221.1,759.52,212370,0.086749,0.007573,0.00086845,0.000009617
258.45,23844,1354.1,1.47,1221.1,759.6,212350,0.086733,0.0075766,0.00086764,9.62E-06
258.5,23905,1354,1.4735,1221.1,759.68,212320,0.086718,0.0075802,0.00086683,9.62E-06
258.55,23965,1353.9,1.477,1221.1,759.76,212300,0.086702,0.0075838,0.00086603,9.62E-06
258.6,24026,1353.8,1.4805,1221.1,759.84,212270,0.086686,0.0075874,0.00086522,9.62E-06
258.65,24087,1353.7,1.484,1221.1,759.92,212250,0.086671,0.007591,0.00086441,9.63E-06
258.7,24148,1353.6,1.4875,1221.1,760,212220,0.086655,0.0075946,0.00086361,9.63E-06
258.75,24209,1353.5,1.4911,1221.2,760.08,212200,0.08664,0.0075982,0.00086281,9.63E-06
258.8,24270,1353.3,1.4946,1221.2,760.16,212170,0.086624,0.0076018,0.00086201,9.63E-06
258.85,24332,1353.2,1.4981,1221.2,760.25,212150,0.086608,0.0076054,0.00086121,9.63E-06
258.9,24393,1353.1,1.5017,1221.2,760.33,212120,0.086593,0.007609,0.00086041,9.64E-06
258.95,24455,1353,1.5052,1221.2,760.41,212100,0.086577,0.0076126,0.00085961,9.64E-06
259,24517,1352.9,1.5088,1221.2,760.49,212070,0.086561,0.0076162,0.00085881,9.64E-06
259.05,24579,1352.8,1.5123,1221.2,760.57,212050,0.086546,0.0076199,0.00085802,0.000009641
259.1,24641,1352.7,1.5159,1221.2,760.65,212020,0.08653,0.0076235,0.00085722,9.64E-06
259.15,24703,1352.6,1.5195,1221.2,760.73,211990,0.086515,0.0076271,0.00085643,9.64E-06
259.2,24765,1352.5,1.523,1221.2,760.81,211970,0.086499,0.0076307,0.00085564,9.65E-06
259.25,24827,1352.4,1.5266,1221.3,760.89,211940,0.086483,0.0076343,0.00085485,9.65E-06
259.3,24890,1352.2,1.5302,1221.3,760.97,211920,0.086468,0.0076379,0.00085406,9.65E-06
259.35,24953,1352.1,1.5338,1221.3,761.05,211890,0.086452,0.0076415,0.00085327,0.000009652
259.4,25015,1352,1.5374,1221.3,761.13,211870,0.086436,0.0076451,0.00085248,9.65E-06
259.45,25078,1351.9,1.5411,1221.3,761.21,211840,0.086421,0.0076487,0.0008517,9.66E-06
259.5,25141,1351.8,1.5447,1221.3,761.29,211820,0.086405,0.0076523,0.00085091,9.66E-06
259.55,25205,1351.7,1.5483,1221.3,761.37,211790,0.08639,0.0076559,0.00085013,9.66E-06
259.6,25268,1351.6,1.5519,1221.3,761.45,211770,0.086374,0.0076595,0.00084935,9.66E-06
259.65,25331,1351.5,1.5556,1221.3,761.53,211740,0.086358,0.0076631,0.00084857,9.66E-06
259.7,25395,1351.4,1.5592,1221.4,761.61,211720,0.086343,0.0076667,0.00084779,9.66E-06
259.75,25459,1351.3,1.5629,1221.4,761.69,211690,0.086327,0.0076703,0.00084701,9.67E-06
259.8,25522,1351.1,1.5666,1221.4,761.77,211670,0.086312,0.0076739,0.00084623,9.67E-06
259.85,25586,1351,1.5702,1221.4,761.85,211640,0.086296,0.0076775,0.00084545,9.67E-06
259.9,25650,1350.9,1.5739,1221.4,761.93,211610,0.08628,0.0076811,0.00084468,9.67E-06
259.95,25715,1350.8,1.5776,1221.4,762.01,211590,0.086265,0.0076848,0.0008439,9.67E-06
260,25779,1350.7,1.5813,1221.4,762.09,211560,0.086249,0.0076884,0.00084313,0.000009676
260.05,25843,1350.6,1.585,1221.4,762.18,211540,0.086234,0.007692,0.00084236,9.68E-06
260.1,25908,1350.5,1.5887,1221.4,762.26,211510,0.086218,0.0076956,0.00084159,9.68E-06
260.15,25973,1350.4,1.5924,1221.5,762.34,211490,0.086202,0.0076992,0.00084082,9.68E-06
260.2,26038,1350.3,1.5961,1221.5,762.42,211460,0.086187,0.0077028,0.00084005,9.68E-06
260.25,26103,1350.1,1.5998,1221.5,762.5,211440,0.086171,0.0077064,0.00083929,9.69E-06
260.3,26168,1350,1.6036,1221.5,762.58,211410,0.086156,0.00771,0.00083852,0.000009687
260.35,26233,1349.9,1.6073,1221.5,762.66,211390,0.08614,0.0077136,0.00083775,9.69E-06
260.4,26298,1349.8,1.611,1221.5,762.74,211360,0.086125,0.0077172,0.00083699,9.69E-06
260.45,26364,1349.7,1.6148,1221.5,762.82,211340,0.086109,0.0077208,0.00083623,9.69E-06
260.5,26430,1349.6,1.6186,1221.5,762.9,211310,0.086093,0.0077244,0.00083547,9.69E-06
260.55,26495,1349.5,1.6223,1221.5,762.98,211280,0.086078,0.007728,0.00083471,9.70E-06
260.6,26561,1349.4,1.6261,1221.6,763.06,211260,0.086062,0.0077316,0.00083395,0.000009698
260.65,26627,1349.3,1.6299,1221.6,763.15,211230,0.086047,0.0077352,0.00083319,9.70E-06
260.7,26694,1349.2,1.6337,1221.6,763.23,211210,0.086031,0.0077389,0.00083243,9.70E-06
260.75,26760,1349,1.6375,1221.6,763.31,211180,0.086016,0.0077425,0.00083168,9.70E-06
260.8,26826,1348.9,1.6413,1221.6,763.39,211160,0.086,0.0077461,0.00083092,9.71E-06
260.85,26893,1348.8,1.6451,1221.6,763.47,211130,0.085984,0.0077497,0.00083017,9.71E-06
260.9,26960,1348.7,1.6489,1221.6,763.55,211110,0.085969,0.0077533,0.00082942,9.71E-06
260.95,27027,1348.6,1.6527,1221.6,763.63,211080,0.085953,0.0077569,0.00082867,9.71E-06
261,27094,1348.5,1.6565,1221.7,763.71,211060,0.085938,0.0077605,0.00082792,9.71E-06
261.05,27161,1348.4,1.6604,1221.7,763.79,211030,0.085922,0.0077641,0.00082717,9.71E-06
261.1,27228,1348.3,1.6642,1221.7,763.88,211010,0.085907,0.0077677,0.00082642,9.72E-06
261.15,27295,1348.2,1.6681,1221.7,763.96,210980,0.085891,0.0077713,0.00082567,9.72E-06
261.2,27363,1348,1.6719,1221.7,764.04,210960,0.085876,0.0077749,0.00082493,9.72E-06
261.25,27431,1347.9,1.6758,1221.7,764.12,210930,0.08586,0.0077785,0.00082418,9.72E-06
261.3,27498,1347.8,1.6797,1221.7,764.2,210900,0.085844,0.0077822,0.00082344,9.72E-06
261.35,27566,1347.7,1.6835,1221.7,764.28,210880,0.085829,0.0077858,0.0008227,9.73E-06
261.4,27634,1347.6,1.6874,1221.8,764.36,210850,0.085813,0.0077894,0.00082196,9.73E-06
261.45,27703,1347.5,1.6913,1221.8,764.45,210830,0.085798,0.007793,0.00082122,9.73E-06
261.5,27771,1347.4,1.6952,1221.8,764.53,210800,0.085782,0.0077966,0.00082048,9.73E-06
261.55,27839,1347.3,1.6991,1221.8,764.61,210780,0.085767,0.0078002,0.00081974,0.000009733
261.6,27908,1347.2,1.7031,1221.8,764.69,210750,0.085751,0.0078038,0.000819,9.73E-06
261.65,27977,1347,1.707,1221.8,764.77,210730,0.085736,0.0078074,0.00081827,9.74E-06
261.7,28046,1346.9,1.7109,1221.8,764.85,210700,0.08572,0.007811,0.00081753,9.74E-06
261.75,28115,1346.8,1.7148,1221.8,764.93,210680,0.085705,0.0078146,0.0008168,9.74E-06
261.8,28184,1346.7,1.7188,1221.9,765.02,210650,0.085689,0.0078182,0.00081607,9.74E-06
261.85,28253,1346.6,1.7227,1221.9,765.1,210630,0.085674,0.0078219,0.00081534,0.000009744
261.9,28323,1346.5,1.7267,1221.9,765.18,210600,0.085658,0.0078255,0.00081461,9.75E-06
261.95,28392,1346.4,1.7307,1221.9,765.26,210570,0.085643,0.0078291,0.00081388,9.75E-06
262,28462,1346.3,1.7346,1221.9,765.34,210550,0.085627,0.0078327,0.00081315,9.75E-06
262.05,28532,1346.2,1.7386,1221.9,765.42,210520,0.085612,0.0078363,0.00081242,9.75E-06
262.1,28602,1346.1,1.7426,1221.9,765.51,210500,0.085596,0.0078399,0.0008117,9.75E-06
262.15,28672,1345.9,1.7466,1221.9,765.59,210470,0.08558,0.0078435,0.00081097,0.000009755
262.2,28742,1345.8,1.7506,1222,765.67,210450,0.085565,0.0078471,0.00081025,9.76E-06
262.25,28813,1345.7,1.7546,1222,765.75,210420,0.085549,0.0078507,0.00080953,9.76E-06
262.3,28883,1345.6,1.7586,1222,765.83,210400,0.085534,0.0078544,0.0008088,9.76E-06
262.35,28954,1345.5,1.7627,1222,765.91,210370,0.085518,0.007858,0.00080808,9.76E-06
262.4,29025,1345.4,1.7667,1222,766,210350,0.085503,0.0078616,0.00080736,9.76E-06
262.45,29096,1345.3,1.7707,1222,766.08,210320,0.085487,0.0078652,0.00080664,0.000009766
262.5,29167,1345.2,1.7748,1222,766.16,210300,0.085472,0.0078688,0.00080593,9.77E-06
262.55,29238,1345.1,1.7788,1222.1,766.24,210270,0.085456,0.0078724,0.00080521,9.77E-06
262.6,29309,1344.9,1.7829,1222.1,766.32,210250,0.085441,0.007876,0.0008045,9.77E-06
262.65,29381,1344.8,1.787,1222.1,766.41,210220,0.085425,0.0078796,0.00080378,9.77E-06
262.7,29453,1344.7,1.791,1222.1,766.49,210190,0.08541,0.0078832,0.00080307,9.78E-06
262.75,29524,1344.6,1.7951,1222.1,766.57,210170,0.085394,0.0078869,0.00080236,0.000009777
262.8,29596,1344.5,1.7992,1222.1,766.65,210140,0.085379,0.0078905,0.00080164,9.78E-06
262.85,29669,1344.4,1.8033,1222.1,766.73,210120,0.085364,0.0078941,0.00080093,9.78E-06
262.9,29741,1344.3,1.8074,1222.1,766.82,210090,0.085348,0.0078977,0.00080022,9.78E-06
262.95,29813,1344.2,1.8115,1222.2,766.9,210070,0.085333,0.0079013,0.00079952,9.78E-06
263,29886,1344.1,1.8156,1222.2,766.98,210040,0.085317,0.0079049,0.00079881,9.79E-06
263.05,29958,1343.9,1.8198,1222.2,767.06,210020,0.085302,0.0079085,0.0007981,9.79E-06
263.1,30031,1343.8,1.8239,1222.2,767.15,209990,0.085286,0.0079121,0.0007974,9.79E-06
263.15,30104,1343.7,1.828,1222.2,767.23,209970,0.085271,0.0079158,0.00079669,9.79E-06
263.2,30177,1343.6,1.8322,1222.2,767.31,209940,0.085255,0.0079194,0.00079599,9.79E-06
263.25,30250,1343.5,1.8364,1222.2,767.39,209920,0.08524,0.007923,0.00079529,9.80E-06
263.3,30324,1343.4,1.8405,1222.3,767.47,209890,0.085224,0.0079266,0.00079459,9.80E-06
