T,P_sat,rho_l,rho_g,Cp_l,Cp_g,lambda,k_l,k_g,mu_l,mu_g,sigma
280,991.82,999.86,0.0076812,4201.4,1891.3,2484700,0.57191,0.017204,0.0014337,9.1447E-06,0.074677
281,1062.1,999.81,0.0081963,4199.4,1892.4,2482300,0.57411,0.01727,0.0013911,9.1743E-06,0.074533
282,1136.7,999.75,0.0087414,4197.5,1893.5,2479900,0.57628,0.017336,0.0013504,9.2041E-06,0.074388
283,1215.9,999.67,0.0093178,4195.8,1894.5,2477500,0.5784,0.017402,0.0013117,9.2339E-06,0.074243
284,1299.9,999.58,0.009927,4194.2,1895.6,2475200,0.58048,0.017469,0.0012746,0.000009264,0.074097
285,1389,999.47,0.010571,4192.7,1896.7,2472800,0.58253,0.017535,0.0012393,9.2941E-06,0.073951
286,1483.5,999.35,0.01125,4191.4,1897.8,2470400,0.58454,0.017602,0.0012055,9.3243E-06,0.073804
287,1583.5,999.22,0.011967,4190.1,1898.9,2468100,0.58651,0.017669,0.0011731,9.3547E-06,0.073656
288,1689.4,999.08,0.012724,4189,1900,2465700,0.58845,0.017737,0.0011422,9.3852E-06,0.073508
289,1801.5,998.92,0.013522,4187.9,1901.2,2463300,0.59036,0.017804,0.0011125,9.4158E-06,0.073359
290,1920,998.76,0.014363,4186.9,1902.3,2461000,0.59224,0.017872,0.001084,9.4466E-06,0.07321
291,2045.3,998.58,0.015248,4186,1903.4,2458600,0.59408,0.01794,0.0010567,9.4774E-06,0.07306
