P_sat,T
42019,270.25
42114,270.3
42210,270.35
42306,270.4
42402,270.45
42498,270.5
42595,270.55
42692,270.6
42788,270.65
42885,270.7
42983,270.75
43080,270.8
43177,270.85
43275,270.9
43373,270.95
43471,271
43569,271.05
43668,271.1
43766,271.15
43865,271.2
43964,271.25
44063,271.3
44162,271.35
44262,271.4
44362,271.45
44461,271.5
44562,271.55
44662,271.6
44762,271.65
44863,271.7
44963,271.75
45064,271.8
45165,271.85
45267,271.9
45368,271.95
45470,272
45572,272.05
45674,272.1
45776,272.15
45878,272.2
45981,272.25
46084,272.3
46187,272.35
46290,272.4
46393,272.45
46496,272.5
46600,272.55
46704,272.6
46808,272.65
46912,272.7
47017,272.75
47121,272.8
47226,272.85
47331,272.9
47436,272.95
47541,273
47647,273.05
47753,273.1
47859,273.15
47965,273.2
48071,273.25
48177,273.3
48284,273.35
48391,273.4
48498,273.45
48605,273.5
48713,273.55
48820,273.6
48928,273.65
49036,273.7
49144,273.75
49253,273.8
49361,273.85
49470,273.9
49579,273.95
49688,274
49797,274.05
49907,274.1
50016,274.15
50126,274.2
50236,274.25
50347,274.3
50457,274.35
50568,274.4
50679,274.45
50790,274.5
50901,274.55
51012,274.6
51124,274.65
51236,274.7
51348,274.75
51460,274.8
51572,274.85
51685,274.9
51798,274.95
51911,275
52024,275.05
52137,275.1
52251,275.15
52365,275.2
52479,275.25
52593,275.3
52707,275.35
52822,275.4
52937,275.45
53052,275.5
53167,275.55
53282,275.6
53398,275.65
53514,275.7
53630,275.75
53746,275.8
53862,275.85
53979,275.9
54096,275.95
54213,276
54330,276.05
54447,276.1
54565,276.15
54682,276.2
54800,276.25
54919,276.3
55037,276.35
55156,276.4
55274,276.45
55393,276.5
55513,276.55
55632,276.6
55752,276.65
55871,276.7
55991,276.75
56112,276.8
56232,276.85
56353,276.9
56474,276.95
56595,277
56716,277.05
56837,277.1
56959,277.15
57081,277.2
57203,277.25
57325,277.3
57448,277.35
57571,277.4
57693,277.45
57817,277.5
57940,277.55
58063,277.6
58187,277.65
58311,277.7
58435,277.75
58560,277.8
58684,277.85
58809,277.9
58934,277.95
59059,278
59185,278.05
59310,278.1
59436,278.15
59562,278.2
59689,278.25
59815,278.3
59942,278.35
60069,278.4
60196,278.45
60323,278.5
60451,278.55
60579,278.6
60707,278.65
60835,278.7
60963,278.75
61092,278.8
61221,278.85
61350,278.9
61479,278.95
61609,279
61738,279.05
61868,279.1
61998,279.15
62129,279.2
62259,279.25
62390,279.3
62521,279.35
62652,279.4
62784,279.45
62916,279.5
63048,279.55
63180,279.6
63312,279.65
63445,279.7
63577,279.75
63710,279.8
63843,279.85
63977,279.9
64111,279.95
64244,280
64379,280.05
64513,280.1
64647,280.15
64782,280.2
64917,280.25
65052,280.3
65188,280.35
65324,280.4
65459,280.45
65596,280.5
65732,280.55
65868,280.6
66005,280.65
66142,280.7
66279,280.75
66417,280.8
66555,280.85
66692,280.9
66831,280.95
66969,281
67108,281.05
67246,281.1
67385,281.15
67525,281.2
67664,281.25
67804,281.3
67944,281.35
68084,281.4
68224,281.45
68365,281.5
68506,281.55
68647,281.6
68788,281.65
68930,281.7
69072,281.75
69214,281.8
69356,281.85
69498,281.9
69641,281.95
69784,282
69927,282.05
70071,282.1
70214,282.15
70358,282.2
70502,282.25
70647,282.3
70791,282.35
70936,282.4
71081,282.45
71226,282.5
71372,282.55
71518,282.6
71664,282.65
71810,282.7
71956,282.75
72103,282.8
72250,282.85
72397,282.9
72545,282.95
72692,283
72840,283.05
72988,283.1
73137,283.15
73285,283.2
73434,283.25
73583,283.3
73732,283.35
73882,283.4
74032,283.45
74182,283.5
74332,283.55
74482,283.6
74633,283.65
74784,283.7
74935,283.75
75087,283.8
75239,283.85
75391,283.9
75543,283.95
75695,284
75848,284.05
76001,284.1
76154,284.15
76307,284.2
76461,284.25
76615,284.3
76769,284.35
76923,284.4
77078,284.45
77233,284.5
77388,284.55
77543,284.6
77699,284.65
77855,284.7
78011,284.75
78167,284.8
78324,284.85
78481,284.9
78638,284.95
78795,285
78953,285.05
79111,285.1
79269,285.15
79427,285.2
79586,285.25
79745,285.3
79904,285.35
80063,285.4
80223,285.45
80382,285.5
80542,285.55
80703,285.6
80863,285.65
81024,285.7
81185,285.75
81347,285.8
81508,285.85
81670,285.9
81832,285.95
81995,286
82157,286.05
82320,286.1
82483,286.15
82647,286.2
82810,286.25
82974,286.3
83138,286.35
83303,286.4
83467,286.45
83632,286.5
83797,286.55
83963,286.6
84128,286.65
84294,286.7
84461,286.75
84627,286.8
84794,286.85
84961,286.9
85128,286.95
85295,287
85463,287.05
85631,287.1
85799,287.15
85968,287.2
86137,287.25
86306,287.3
86475,287.35
86645,287.4
86814,287.45
86985,287.5
87155,287.55
87326,287.6
87496,287.65
87668,287.7
87839,287.75
88011,287.8
88183,287.85
88355,287.9
88527,287.95
88700,288
88873,288.05
89046,288.1
89220,288.15
89394,288.2
89568,288.25
89742,288.3
89916,288.35
90091,288.4
90266,288.45
90442,288.5
90617,288.55
90793,288.6
90970,288.65
91146,288.7
91323,288.75
91500,288.8
91677,288.85
91855,288.9
92032,288.95
92210,289
92389,289.05
92567,289.1
92746,289.15
92925,289.2
93105,289.25
93285,289.3
93465,289.35
93645,289.4
93825,289.45
94006,289.5
94187,289.55
94369,289.6
94550,289.65
94732,289.7
94914,289.75
95097,289.8
95279,289.85
95462,289.9
