step,distance,u,P[kPa],T,rho,m_dot,phase,x,P_loss_gas,P_loss_all_phase,Q_release_gas,Delta_T,G_in_gas,G_pipe_gas,R_insu_gas,G_ex_gas,h_in,P_loss_mix,LM_C,LM_X,Delta_P_2p,Q_release_mix,G_in_mix,G_pipe_mix,R_insu_mix,G_ex_mix,P_loss_liq,Q_release_liq,G_in_liq,G_pipe_liq,R_insu_liq,G_ex_liq
23,1.7249999999999999,1.2915447730684702,168.89596811693858,32.592315412882556,-,0.0025062302750487315,mix,0.9822944241918051,,21.7279840510746,,-0.0692903715561215,,,,,540979.4874534501,0.99819520348683,12.0,0.001,0.998195203479932,8.47676348514759,6.099109974173163,51.52687613666788,0.0,3.6002651810139032,,,,,,
24,1.7999999999999998,1.2749332457171312,168.89497227352382,32.59213716373904,-,0.0024421479533792943,mix,0.9696548601762042,,22.723827465844806,,0.00017824914351649568,,,,,2079.3178842543107,1.9940386182570364,12.0,0.0022469074464225272,0.9958434147795808,14.636202570424164,6.002887997468852,51.52687613666788,0.0,3.6002651810139032,,,,,,
25,1.875,1.2592232297853616,168.89396435928825,32.59195933455783,-,0.0023823062164419475,mix,0.9577010970426393,,23.731741701398278,,0.000177829181211564,,,,,1740.1230848309267,3.001952853810508,20.0,0.0029895325904058193,1.007914235561032,20.461467384803548,5.941039388524765,51.52687613666788,0.0,3.6002651810139032,,,,,,
26,1.95,1.2440945813263007,168.89294138055357,32.59177934987292,-,0.0023253799231849575,mix,0.9461895607053094,,24.754720436088974,,0.00017998468490532105,,,,,1560.0647317174355,4.024931588501204,20.0,0.004790601306756583,1.0229787346911237,26.071252803601247,5.882398797135937,51.52687613666788,0.0,3.6002651810139032,,,,,,
27,2.025,1.2293970671606977,168.89191502816155,32.591596675098856,-,0.0022707346301692284,mix,0.9350059715000874,,25.781072828103788,,0.00018267477406652688,,,,,1441.8835509641608,5.051283980516018,20.0,0.005976599527164567,1.0263523920277704,31.521246412815017,5.825789749455399,51.52687613666788,0.0,3.6002651810139032,,,,,,
28,2.1,1.21504225000816,168.89088613272997,32.591413397886015,-,0.002217990576589839,mix,0.9240831286570077,,26.809968259680318,,0.00018327721284094878,,,,,1355.8720198843873,6.080179412092548,20.0,0.007124050743234896,1.0288954315882535,36.84418918739243,5.770661888059136,51.52687613666788,0.0,3.6002651810139032,,,,,,
29,2.175,1.200971681973946,168.8898553457073,32.591229666558945,-,0.00216689246039867,mix,0.9133765811030106,,27.840755282348255,,0.00018373132706983597,,,,,1289.2745492837796,7.110966434760485,20.0,0.008245607566316876,1.0307870226665277,42.06174092185836,5.7166920315708305,51.52687613666788,0.0,3.6002651810139032,,,,,,
30,2.25,1.1871437489125019,168.88882320337245,32.59104559744776,-,0.002117255752590704,mix,0.9028546801781824,,28.87289761719876,,0.0001840691111851811,,,,,1235.5272878356643,8.14310876961099,20.0,0.009349417734470122,1.0321423348542564,47.18932310436687,5.66366696602032,51.52687613666788,0.0,3.6002651810139032,,,,,,
31,2.3249999999999997,1.1735272815075457,168.88779016212237,32.59086128631651,-,0.0020689402694101344,mix,0.8924937207361052,,29.905938867275836,,0.00018431113124961485,,,,,1190.841125571457,9.176150019688066,20.0,0.010441173394459798,1.0330412500668635,52.23848654381201,5.611435088958142,51.52687613666788,0.0,3.6002651810139032,,,,,,
32,2.4,1.1600980499668379,168.88675661991212,32.59067681466473,-,0.002021835565477939,mix,0.8822752752829018,,30.93948107754113,,0.0001844716517780398,,,,,1152.8461899789831,10.209692229953362,20.0,0.011525090546571762,1.0335422102784873,57.218210380531346,5.559882949672826,51.52687613666788,0.0,3.6002651810139032,,,,,,
