step,distance,u,P[kPa],T,rho,m_dot,phase,x,P_loss_gas,P_loss_all_phase,Q_release_gas,Delta_T,G_in_gas,G_pipe_gas,R_insu_gas,G_ex_gas
37,5.55,0.714145602823065,168.94591610756328,41.40324598994283,12.15829839597712,0.005194785383072386,gas,1.0,16.855114209174644,16.855114209174644,1.1505861889253552,0.006630464230227062,0.33914390475053513,106.45668685078911,377.14929152723704,1.2421857352294041
38,5.7,0.714301330795312,168.94547085323393,41.396619279780225,12.155647711912076,0.005194785383072386,gas,1.0,17.300368538533803,17.300368538533803,1.1805228486715376,0.0066267101626067415,0.33913038269767914,106.45668685078911,377.14929152723704,1.2421857352294041
39,5.85,0.7144570173118361,168.94502550181153,41.38999629512142,12.152998888536414,0.005194785383072386,gas,1.0,17.745719960919814,17.745719960919814,1.2104421058777133,0.006622984658804398,0.3391221807989348,106.45668685078911,377.14929152723704,1.2421857352294041
40,6.0,0.7145737778407235,168.94458005332552,41.383377008576986,12.151013102573092,0.005194785383072386,gas,1.0,18.19116844693781,18.19116844693781,1.2403439738126651,0.006619286544434999,0.3391190799796105,106.45668685078911,377.14929152723704,1.2421857352294041
41,6.1499999999999995,0.7147095622165126,168.94413453836546,41.37676146898758,12.148704587595034,0.005194785383072386,gas,1.0,18.63668340697768,18.63668340697768,1.2702284603472425,0.006615539589404307,0.3391132818986307,106.45668685078911,377.14929152723704,1.2421857352294041
42,6.3,0.7148651856877271,168.94368894197493,41.37014965036593,12.146059860146371,0.005194785383072385,gas,1.0,19.082279797527008,19.082279797527008,1.3000955724110312,0.006611818621649945,0.33910321367307356,106.45668685078911,377.14929152723704,1.2421857352294041
43,6.45,0.7150207899417791,168.9432432485586,41.36354152578133,12.143416610312528,0.005194785383072386,gas,1.0,19.527973213873338,19.527973213873338,1.329945316748775,0.0066081245846021375,0.3390886975020605,106.45668685078911,377.14929152723704,1.2421857352294041
44,6.6,0.7151583319070329,168.94279746430269,41.35693714110528,12.141081142331577,0.005194785383072386,gas,1.0,19.973757469764678,19.973757469764678,1.3597777088791463,0.006604384676052177,0.3390827108741737,106.45668685078911,377.14929152723704,1.2421857352294041
45,6.75,0.715274992678483,168.9423515976818,41.35033647279914,12.139100941839736,0.005194785383072385,gas,1.0,20.41962409063126,20.41962409063126,1.3895927560101689,0.006600668306134594,0.3390728833851117,106.45668685078911,377.14929152723704,1.2421857352294041
46,6.8999999999999995,0.7154285291616255,168.9419056583286,41.343739492758004,12.13649579710319,0.005194785383072386,gas,1.0,20.865563443832798,20.865563443832798,1.419390464731376,0.0065969800411380675,0.3390583908955018,106.45668685078911,377.14929152723704,1.2421857352294041
47,7.05,0.7155840278499015,168.94145962325285,41.337146244784094,12.133858497913623,0.005194785383072387,gas,1.0,21.311598519590916,21.311598519590916,1.4491708527618408,0.0065932479739103655,0.3390556991162668,106.45668685078911,377.14929152723704,1.2421857352294041
48,7.199999999999999,0.7157395060552926,168.94101349396166,41.33055672957721,12.13122269183087,0.005194785383072385,gas,1.0,21.757727810792858,21.757727810792858,1.4789339292384793,0.006589515206883334,0.3390520320983919,106.45668685078911,377.14929152723704,1.2421857352294041
49,7.35,0.7158593787709511,168.9405672740443,41.323970945453766,12.129191283636116,0.005194785383072386,gas,1.0,22.203947728150524,22.203947728150524,1.508679702532468,0.006585784123444682,0.339046258300492,106.45668685078911,377.14929152723704,1.2421857352294041
50,7.5,0.7159913557704837,168.94012097992652,41.31738884596649,12.126955538386582,0.005194785383072386,gas,1.0,22.650241845927667,22.650241845927667,1.53840817704406,0.006582099487275173,0.339032532399739,106.45668685078911,377.14929152723704,1.2421857352294041
51,7.6499999999999995,0.7161467484602,168.93967460352926,41.31081044481044,12.124324177924175,0.005194785383072386,gas,1.0,23.0966182432021,23.0966182432021,1.5681193622397964,0.00657840115604813,0.33901848717417393,106.45668685078911,377.14929152723704,1.2421857352294041
52,7.8,0.716302120535729,168.93922813025424,41.304235769970376,12.121694307988147,0.005194785383072386,gas,1.0,23.543091518222354,23.543091518222354,1.5978132682642467,0.0065746748400670185,0.3390050687345026,106.45668685078911,377.14929152723704,1.2421857352294041
53,7.949999999999999,0.7164436678585313,168.93878156563548,41.297664775007775,12.119299432502327,0.005194785383072386,gas,1.0,23.989656136982376,23.989656136982376,1.6274899088517099,0.006570994962601162,0.3389974645971746,106.45668685078911,377.14929152723704,1.2421857352294041
54,8.1,0.7165601565151455,168.93833491682986,41.29109746916862,12.11732924075058,0.005194785383072386,gas,1.0,24.436304942588322,24.436304942588322,1.6571492953643185,0.006567305839155324,0.33899236305933345,106.45668685078911,377.14929152723704,1.2421857352294041
55,8.25,0.7167089530058541,168.9378881954023,41.28453388203269,12.114813552813066,0.005194785383072386,gas,1.0,24.883026370138396,24.883026370138396,1.6867914395583365,0.006563587135929083,0.3389903144374873,106.45668685078911,377.14929152723704,1.2421857352294041
56,8.4,0.7168642196085151,168.93744138121133,41.27797397190341,12.11218958876135,0.005194785383072387,gas,1.0,25.329840561113087,25.329840561113087,1.7164163442290652,0.006559910129283253,0.3389779693314746,106.45668685078911,377.14929152723704,1.2421857352294041
57,8.549999999999999,0.7170194662927377,168.9369944721655,41.27141774379271,12.109567097517068,0.005194785383072386,gas,1.0,25.776749606942758,25.776749606942758,1.746024019453714,0.006556228110696338,0.3389662376435613,106.45668685078911,377.14929152723704,1.2421857352294041
58,8.7,0.7171442768832691,168.93654747262198,41.2648652290419,12.107459568712558,0.005194785383072386,gas,1.0,26.223749150463846,26.223749150463846,1.7756144789537072,0.006552514750808314,0.33896049064043265,106.45668685078911,377.14929152723704,1.2421857352294041
59,8.85,0.7172706400478651,168.93610039662957,41.25831642655265,12.105326570621045,0.005194785383072386,gas,1.0,26.67082514287904,26.67082514287904,1.8051877284471776,0.006548802489248828,0.338948772917996,106.45668685078911,377.14929152723704,1.2421857352294041
60,9.0,0.717425799087599,168.93565324347585,41.25177132164856,12.102708528659422,0.005194785383072386,gas,1.0,27.1179782965919,27.1179782965919,1.834743777724945,0.006545104904091659,0.3389371092130605,106.45668685078911,377.14929152723704,1.2421857352294041
