step,distance,u,P[kPa],T,rho,m_dot,phase,x,P_loss_gas,P_loss_all_phase,Q_release_gas,Delta_T,G_in_gas,G_pipe_gas,R_insu_gas,G_ex_gas,h_in,P_loss_mix,LM_C,LM_X,Delta_P_2p,Q_release_mix,G_in_mix,G_pipe_mix,R_insu_mix,G_ex_mix
start,start,2.4265576469204815,157.11186429896816,59.55043043618781,20.45425826171268,0.010612852250678621,,,,,,,,,,,,,,,,,,,,
0,0.0,2.513579563530915,157.10646841034705,58.26019542884063,19.74611725730435,0.01061285225067862,gas,1.0,5.395888621133054,5.395888621133054,12.570122225743562,1.290235007347178,0.4869302939604709,51.52687613666788,0.0,3.6002651810139032,,,,,,,,,,
1,0.075,2.6002337305850816,157.10088468329045,57.02677905889465,19.088067435336768,0.01061285225067862,gas,1.0,10.97961567773018,10.97961567773018,24.537591563834184,1.233416369945985,0.4844367052681872,51.52687613666788,0.0,3.6002651810139032,,,,,,,,,,
2,0.15,2.686541755593023,157.0951140288683,55.84768573908457,18.47484286954227,0.01061285225067862,gas,1.0,16.750270099873887,16.750270099873887,35.933679568889154,1.1790933198100788,0.48206262934423355,51.52687613666788,0.0,3.6002651810139032,,,,,,,,,,
3,0.22499999999999998,2.7721586525758863,157.08915730777642,54.7205109962419,17.904255498120936,0.01061285225067862,gas,1.0,22.706991191749694,22.706991191749694,46.78804553389476,1.1271747428426693,0.4798113859809297,51.52687613666788,0.0,3.6002651810139032,,,,,,,,,,
4,0.3,2.8571818726644067,157.0830161480104,53.6429313281767,17.37146566408833,0.01061285225067862,gas,1.0,28.84815095778322,28.84815095778322,57.128783866332164,1.077579668065198,0.4776850116238496,51.52687613666788,0.0,3.6002651810139032,,,,,,,,,,
5,0.375,2.9413469248052833,157.07669198068572,52.61278113048911,16.87439056524455,0.010612852250678621,gas,1.0,35.17231828244985,35.17231828244985,66.98187605231372,1.0301501976875898,0.4756514841619925,51.52687613666788,0.0,3.6002651810139032,,,,,,,,,,
6,0.44999999999999996,3.024587673932107,157.07018676635712,51.62796896622905,16.409984483114528,0.01061285225067862,gas,1.0,41.67753261103644,41.67753261103644,76.37194901695113,0.9848121642600631,0.4737105953053852,51.52687613666788,0.0,3.6002651810139032,,,,,,,,,,
7,0.525,3.10690118869556,157.0635025832846,50.68644437051057,15.975222185255285,0.01061285225067862,gas,1.0,48.36171568359714,48.36171568359714,85.3226561495296,0.9415245957184766,0.47188124172223256,51.52687613666788,0.0,3.6002651810139032,,,,,,,,,,
8,0.6,3.188137048194103,157.05664148775324,49.786325726749965,15.56816286337497,0.01061285225067862,gas,1.0,55.22281121494598,55.22281121494598,93.85571175906465,0.9001186437606066,0.47012211000541243,51.52687613666788,0.0,3.6002651810139032,,,,,,,,,,
9,0.6749999999999999,3.2681806739602663,157.04960598686188,48.92574108017186,15.186870540085925,0.01061285225067862,gas,1.0,62.25831210630713,62.25831210630713,101.9921899330663,0.8605846465781042,0.46846306252156333,51.52687613666788,0.0,3.6002651810139032,,,,,,,,,,
10,0.75,3.347009818497334,157.0423986730908,48.102969223711966,14.829187689484778,0.010612852250678621,gas,1.0,69.46562587737571,69.46562587737571,109.75141910889377,0.8227718564598945,0.46686173828042477,51.52687613666788,0.0,3.6002651810139032,,,,,,,,,,
11,0.825,3.4245248257206207,157.03502226836954,47.31631295432794,14.493525181731163,0.010612852250678621,gas,1.0,76.84203059863648,76.84203059863648,117.15216912462512,0.7866562693840251,0.46534687332344815,51.52687613666788,0.0,3.6002651810139032,,,,,,,,,,
