step,distance,u,P[kPa],T,rho,m_dot,phase,x,P_loss_liq,P_loss_all_phase,Q_release_liq,Delta_T,G_in_liq,G_pipe_liq,R_insu_liq,G_ex_liq
start,start,0.018922821625328247,177.03918147591574,30.43518783608181,1249.5296243278365,0.005055803920538559,,,,,,,,,,
0,0.0,0.018922817390437146,177.0390357006039,30.43504801488666,1249.5299039702268,0.005055803920538559,liq,0.0,0.14577531183022074,0.14577531183022074,0.0008827167021379964,0.00013982119514821534,0.15120604401385887,103.05375227333576,485.4955599291535,1.1224910551276333
1,0.15,0.018922813156908535,177.03888992506347,30.434908238613616,1249.5301835227729,0.005055803920538559,liq,0.0,0.2915508522710297,0.2915508522710297,0.0017651498026922039,0.00013977627304484486,0.15120611870584003,103.05375227333576,485.4955599291535,1.1224910551276333
2,0.3,0.018922808924741977,177.0387441492945,30.434768507248293,1249.5304629855034,0.005055803920538558,liq,0.0,0.43732662123511545,0.43732662123511545,0.0026472993927750864,0.00013973136532285935,0.15120619337382396,103.05375227333576,485.4955599291535,1.1224910551276333
3,0.44999999999999996,0.01892280469393704,177.03859837329708,30.434628820776254,1249.5307423584475,0.00505580392053856,liq,0.0,0.5831026186642703,0.5831026186642703,0.003529165563469941,0.00013968647203910223,0.15120626801781833,103.05375227333576,485.4955599291535,1.1224910551276333
4,0.6,0.01892280046449327,177.03845259707128,30.43448917918306,1249.531021641634,0.005055803920538559,liq,0.0,0.7288788444711827,0.7288788444711827,0.004410748405830784,0.0001396415931935735,0.15120634263783095,103.05375227333576,485.4955599291535,1.1224910551276333
5,0.75,0.01892279623641024,177.03830682061718,30.434349582454274,1249.5313008350915,0.005055803920538559,liq,0.0,0.8746552985685412,0.8746552985685412,0.005292048010882349,0.00013959672878627316,0.15120641723386935,103.05375227333576,485.4955599291535,1.1224910551276333
6,0.8999999999999999,0.01892279200968751,177.03816104393482,30.434210030575514,1249.531579938849,0.005055803920538559,liq,0.0,1.020431980927242,1.020431980927242,0.00617306446962009,0.0001395518787603578,0.1512064918059414,103.05375227333576,485.4955599291535,1.1224910551276333
7,1.05,0.01892278778432464,177.03801526702432,30.43407052353234,1249.5318589529354,0.00505580392053856,liq,0.0,1.1662088914308697,1.1662088914308697,0.007053797873010291,0.00013950704317267082,0.15120656635405474,103.05375227333576,485.4955599291535,1.1224910551276333
8,1.2,0.01892278356032119,177.03786948988574,30.433931061310375,1249.5321378773792,0.005055803920538559,liq,0.0,1.3119860300212167,1.3119860300212167,0.007934248311989958,0.00013946222196636882,0.15120664087821703,103.05375227333576,485.4955599291535,1.1224910551276333
