step,distance,u,P[kPa],T,rho,m_dot,phase,x,P_loss_gas,P_loss_all_phase,Q_release_gas,Delta_T,G_in_gas,G_pipe_gas,R_insu_gas,G_ex_gas,h_in,P_loss_mix,LM_C,LM_X,Delta_P_2p,Q_release_mix,G_in_mix,G_pipe_mix,R_insu_mix,G_ex_mix
start,start,1.9949532629657747,163.0529490548415,60.53094949127632,21.006474745638144,0.008960735780422998,,,,,,,,,,,,,,,,,,,,
0,0.0,2.072396117567805,163.04903864223795,59.129148367254516,20.221489020352713,0.008960735780423001,gas,1.0,3.910412603523582,3.910412603523582,11.567365539247575,1.4018011240218016,0.42694187407837075,51.52687613666788,0.0,3.6002651810139032,,,,,,,,,,
1,0.075,2.14969267465151,163.0449809498442,57.79230732999821,19.494384397998914,0.008960735780422998,gas,1.0,7.968104997300543,7.968104997300543,22.549275686995372,1.3368410372563062,0.42457404015949074,51.52687613666788,0.0,3.6002651810139032,,,,,,,,,,
2,0.15,2.226548343388745,163.04077627465762,56.517466833662525,18.82148010019749,0.008960735780422998,gas,1.0,12.17278018387151,12.17278018387151,32.97764751925807,1.2748404963356847,0.42231475458929163,51.52687613666788,0.0,3.6002651810139032,,,,,,,,,,
3,0.22499999999999998,2.3029761752066005,163.03642562792254,55.30172025501696,18.196860127508476,0.008960735780423001,gas,1.0,16.52342691895319,16.52342691895319,42.88302850152535,1.2157465786455646,0.4201835580920983,51.52687613666788,0.0,3.6002651810139032,,,,,,,,,,
4,0.3,2.3787561178362027,163.03192988198643,54.142326901354636,17.617163450677296,0.008960735780423001,gas,1.0,21.01917285504169,21.01917285504169,52.29376584584598,1.159393353662324,0.41815869317256277,51.52687613666788,0.0,3.6002651810139032,,,,,,,,,,
5,0.375,2.4539532164253233,163.0272904030601,53.03663266106179,17.077316330530884,0.008960735780423001,gas,1.0,25.658651781384833,25.658651781384833,61.236721948616875,1.1056942402928485,0.4162457935408221,51.52687613666788,0.0,3.6002651810139032,,,,,,,,,,
6,0.44999999999999996,2.528193090197025,163.02250840855356,51.98211106027816,16.575844424111256,0.008960735780423001,gas,1.0,30.44064628792694,30.44064628792694,69.73711277849945,1.0545216007836302,0.41443857521895217,51.52687613666788,0.0,3.6002651810139032,,,,,,,,,,
7,0.525,2.6015899681720955,163.0175858016964,50.97640293044583,16.108201465222905,0.008960735780423001,gas,1.0,35.36325314507121,35.36325314507121,77.81821709261148,1.0057081298323283,0.41270779137707775,51.52687613666788,0.0,3.6002651810139032,,,,,,,,,,
8,0.6,2.6740670151499746,163.0125242375621,50.01721997152242,15.67160998576119,0.008960735780423001,gas,1.0,40.42481727938866,40.42481727938866,85.50229883552338,0.9591829589234067,0.41106809963422275,51.52687613666788,0.0,3.6002651810139032,,,,,,,,,,
9,0.6749999999999999,2.745442691358953,163.00732555759453,49.10236285318757,15.264181426593776,0.008960735780423001,gas,1.0,45.62349724693922,45.62349724693922,92.81039889241475,0.9148571183348508,0.40952036134053915,51.52687613666788,0.0,3.6002651810139032,,,,,,,,,,
