step,distance,u,P[kPa],T,rho,m_dot,phase,x,h_in,P_loss_mix,LM_C,LM_X,Delta_P_2p,P_loss_all_phase,Q_release_mix,Delta_T,G_in_mix,G_pipe_mix,R_insu_mix,G_ex_mix
21,3.15,7.798691857670447,159.94544035354429,31.003273871011856,-,0.011952300309504343,mix,0.8166555437705594,605.0548837577373,1376.060351058608,20.0,0.01927975145240155,62.8933241219774,1376.060351058608,0.05126482279203678,0.011227509230707255,50.43995587935257,103.05375227333576,485.4955599291535,1.1224910551276333
22,3.3,7.802138584396053,159.88252773634747,30.991748213619303,-,0.011953928283563986,mix,0.8167111585366855,605.0882975462541,1438.9729682554316,20.0,0.019269473700924918,62.91261719683735,1438.9729682554316,0.05332659007663019,0.011525657392553512,50.4560365637875,103.05375227333576,485.4955599291535,1.1224910551276333
23,3.4499999999999997,7.805619458414798,159.8195955408139,30.98009772895324,-,0.01195557427343336,mix,0.8167673849080022,605.1270062802777,1501.9051637889934,20.0,0.01925878697194562,62.932195533552694,1501.9051637889934,0.055364671738683285,0.011650484666063221,50.473280980192584,103.05375227333576,485.4955599291535,1.1224910551276333
24,3.5999999999999996,7.809104074835534,159.7566436364339,30.968443618669255,-,0.011957220982185848,mix,0.8168236319631855,605.1679191016552,1564.857068168989,20.0,0.01924793152610335,62.951904379997195,1564.857068168989,0.057378811255095606,0.011654110283984664,50.491015220272836,103.05375227333576,485.4955599291535,1.1224910551276333
25,3.75,7.812592446353783,159.69367200129238,30.95678585859889,-,0.011958868413338503,mix,0.8168798998180831,605.2088726322568,1627.8287033105153,20.0,0.019237075213719076,62.97163514153286,1627.8287033105153,0.0593690011737156,0.011657760070363565,50.50876728238893,103.05375227333576,485.4955599291535,1.1224910551276333
26,3.9,7.816032332939519,159.63068061340013,30.945298571659407,-,0.011960491702169344,mix,0.8169353393034952,605.2498669989566,1690.8200912027678,20.0,0.019226218015196146,62.99138789225998,1690.8200912027678,0.061335233992722255,0.01148728693948442,50.52653722750325,103.05375227333576,485.4955599291535,1.1224910551276333
27,4.05,7.819403096938488,159.5676695506673,30.934050109535804,-,0.01196208107439661,mix,0.8169896168047864,605.2876004101889,1753.8311539356073,20.0,0.01921559345395774,63.01106273284889,1753.8311539356073,0.0632778600351641,0.011248462123603531,50.54360221704115,103.05375227333576,485.4955599291535,1.1224910551276333
28,4.2,7.8227773972962655,159.50463893086578,30.922798134047753,-,0.011963671116539646,mix,0.8170439135758675,605.3207747305652,1816.8617737371242,20.0,0.01920529294930067,63.0306198015189,1816.8617737371242,0.06519737008791558,0.011251975488050903,50.559677402314584,103.05375227333576,485.4955599291535,1.1224910551276333
29,4.35,7.8261552326934805,159.44158873294433,30.91154266622607,-,0.011965261825634475,mix,0.8170982295116932,605.353984435573,1879.9119716585556,20.0,0.019194991444408966,63.05019792143599,1879.9119716585556,0.0670937569298102,0.011255467821683851,50.57576840483711,103.05375227333576,485.4955599291535,1.1224910551276333
30,4.5,7.829536609261777,159.37851893585756,30.900283702311526,-,0.01196685320225676,mix,0.817152564628096,605.3872294980628,1942.981768745347,20.0,0.019184688961392676,63.06979708679871,1942.981768745347,0.06896701338289846,0.011258963914542619,50.59187521520898,103.05375227333576,485.4955599291535,1.1224910551276333
