step,distance,u,P[kPa],T,rho,m_dot,phase,x,P_loss_liq,P_loss_all_phase,Q_release_liq,Delta_T,G_in_liq,G_pipe_liq,R_insu_liq,G_ex_liq
59,8.85,0.0017814487838446887,10.08281206691918,30.0,995.605,0.0003792435295442727,liq,0.0,1.5024483457091264,1.5024483457091264,0.0,0.0,1.262216753041771,103.05375227333576,485.4955599291535,1.1224910551276333
60,9.0,0.0017814487838446887,10.082787026113417,30.0,995.605,0.0003792435295442727,liq,0.0,1.5274891514709452,1.5274891514709452,0.0,0.0,1.262216753041771,103.05375227333576,485.4955599291535,1.1224910551276333
61,9.15,0.0017814487838446887,10.082761985307656,30.0,995.605,0.0003792435295442727,liq,0.0,1.552529957232764,1.552529957232764,0.0,0.0,1.262216753041771,103.05375227333576,485.4955599291535,1.1224910551276333
62,9.299999999999999,0.0017814487838446887,10.082736944501894,30.0,995.605,0.0003792435295442727,liq,0.0,1.5775707629945828,1.5775707629945828,0.0,0.0,1.262216753041771,103.05375227333576,485.4955599291535,1.1224910551276333
63,9.45,0.0017814487838446887,10.082711903696133,30.0,995.605,0.0003792435295442727,liq,0.0,1.6026115687564015,1.6026115687564015,0.0,0.0,1.262216753041771,103.05375227333576,485.4955599291535,1.1224910551276333
64,9.6,0.0017814487838446887,10.082686862890371,30.0,995.605,0.0003792435295442727,liq,0.0,1.6276523745182203,1.6276523745182203,0.0,0.0,1.262216753041771,103.05375227333576,485.4955599291535,1.1224910551276333
65,9.75,0.0017814487838446887,10.082661822084608,30.0,995.605,0.0003792435295442727,liq,0.0,1.652693180280039,1.652693180280039,0.0,0.0,1.262216753041771,103.05375227333576,485.4955599291535,1.1224910551276333
66,9.9,0.0017814487838446887,10.082636781278847,30.0,995.605,0.0003792435295442727,liq,0.0,1.6777339860418579,1.6777339860418579,0.0,0.0,1.262216753041771,103.05375227333576,485.4955599291535,1.1224910551276333
67,10.049999999999999,0.0017814487838446887,10.082611740473086,30.0,995.605,0.0003792435295442727,liq,0.0,1.7027747918036766,1.7027747918036766,0.0,0.0,1.262216753041771,103.05375227333576,485.4955599291535,1.1224910551276333
68,10.2,0.0017814487838446887,10.082586699667324,30.0,995.605,0.0003792435295442727,liq,0.0,1.7278155975654954,1.7278155975654954,0.0,0.0,1.262216753041771,103.05375227333576,485.4955599291535,1.1224910551276333
