step,distance,u,P[kPa],T,rho,m_dot,phase,x,P_loss_gas,P_loss_all_phase,Q_release_gas,Delta_T,G_in_gas,G_pipe_gas,R_insu_gas,G_ex_gas
start,start,0.028997590592260307,228.45684761336886,167.33221703146995,888.3155974296203,0.009351817064834976,,,,,,,,,,
0,0.0,0.02899761423677882,228.45675760116765,167.3322141201823,888.3148731012525,0.009351817064834976,gas,1.0,0.09001220119534992,0.09001220119534992,0.3235798747376169,2.9112876518411213e-06,225.93536858207028,90.46181748049385,423.55360010093545,1.1818671562804803
1,0.15,0.028997637881371902,228.45666758891238,167.33221120889021,888.3141487717817,0.009351817064834976,gas,1.0,0.18002445646561682,0.18002445646561682,0.647159742611847,2.9112920856277924e-06,225.93511017962476,90.46181748049385,423.55360010093545,1.1818671562804803
2,0.3,0.028997661526039557,228.45657757660305,167.3322082975937,888.3134244412076,0.009351817064834976,gas,1.0,0.2700367658108007,0.2700367658108007,0.9707396036226801,2.9112965194144635e-06,225.93485177664783,90.46181748049385,423.55360010093545,1.1818671562804803
3,0.44999999999999996,0.028997685170782238,228.4564875642396,167.33220538629269,888.3127001095163,0.009351817064834974,gas,1.0,0.36004912926000543,0.36004912926000543,1.2943194577701054,2.9113010100445535e-06,225.93459337313925,90.46181748049385,423.55360010093545,1.1818671562804803
4,0.6,0.028997708815599495,228.45639755182208,167.33220247498724,888.3119757767219,0.009351817064834976,gas,1.0,0.45006154678412713,0.45006154678412713,1.6178993050541126,2.9113054438312247e-06,225.93433496909392,90.46181748049385,423.55360010093545,1.1818671562804803
5,0.75,0.028997732460491317,228.45630753935046,167.33219956367736,888.3112514428243,0.009351817064834976,gas,1.0,0.5400740183831658,0.5400740183831658,1.9414791454746911,2.911309877617896e-06,225.93407656451708,90.46181748049385,423.55360010093545,1.1818671562804803
6,0.8999999999999999,0.028997756105458173,228.45621752682476,167.332196652363,888.3105271078095,0.009351817064834976,gas,1.0,0.6300865440862253,0.6300865440862253,2.2650589790318305,2.911314368247986e-06,225.93381815940856,90.46181748049385,423.55360010093545,1.1818671562804803
7,1.05,0.028997779750499598,228.456127514245,167.3321937410442,888.3098027716916,0.009351817064834974,gas,1.0,0.7200991238642018,0.7200991238642018,2.58863880572552,2.911318802034657e-06,225.93355975376343,90.46181748049385,423.55360010093545,1.1818671562804803
8,1.2,0.028997803395615602,228.45603750161115,167.33219082972096,888.3090784344705,0.009351817064834978,gas,1.0,0.8101117577170953,0.8101117577170953,2.9122186255557496,2.911323235821328e-06,225.93330134758676,90.46181748049385,423.55360010093545,1.1818671562804803
9,1.3499999999999999,0.028997827040806168,228.4559474889232,167.3321879183933,888.3083540961463,0.009351817064834976,gas,1.0,0.9001244456740096,0.9001244456740096,3.235798438522508,2.9113276696079993e-06,225.9330429408784,90.46181748049385,423.55360010093545,1.1818671562804803
10,1.5,0.02899785068607177,228.45585747618117,167.33218500706113,888.3076297567048,0.009351817064834976,gas,1.0,0.9901371877058409,0.9901371877058409,3.5593782446257856,2.9113321602380893e-06,225.93278453363848,90.46181748049385,423.55360010093545,1.1818671562804803
