step,distance,u,P[kPa],T,rho,m_dot,phase,x,P_loss_gas,P_loss_all_phase,Q_release_gas,Delta_T,G_in_gas,G_pipe_gas,R_insu_gas,G_ex_gas,h_in,P_loss_mix,LM_C,LM_X,Delta_P_2p,Q_release_mix,G_in_mix,G_pipe_mix,R_insu_mix,G_ex_mix
start,start,0.024619357802034645,228.44775610790356,167.3319229689476,888.2424346740579,0.004675908532417487,,,,,,,,,,,,,,,,,,,,
0,0.0,0.024674525842747184,228.44770906119967,167.32394081893057,886.2564757498217,0.004675908532417488,gas,1.0,0.04704670386854559,0.04704670386854559,443.52520421958445,0.007982150017028289,80.17586742448945,51.52687613666788,0.0,3.6002651810139032,,,,,,,,,,
1,0.075,0.024730168348194338,228.44766193683677,167.31592609348377,884.2624120586586,0.004675908532417488,gas,1.0,0.09417106679757126,0.09417106679757126,886.968389376549,0.00801472544679882,79.92422559948835,51.52687613666788,0.0,3.6002651810139032,,,,,,,,,,
2,0.15,0.024786292908225822,228.44761473419643,167.30787838640572,882.2601425376404,0.004675908532417488,gas,1.0,0.14137370712705888,0.14137370712705888,1330.328800416683,0.008047707078048916,79.67118447604206,51.52687613666788,0.0,3.6002651810139032,,,,,,,,,,
3,0.22499999999999998,0.024842907293999485,228.4475674526509,167.29979728298377,880.2495640062614,0.004675908532417488,gas,1.0,0.18865525265573524,0.18865525265573524,1773.6056678891957,0.00808110342194368,79.41672494123863,51.52687613666788,0.0,3.6002651810139032,,,,,,,,,,
4,0.3,0.024900019463801326,228.44752009156252,167.29168235974254,878.230571103842,0.004675908532417488,gas,1.0,0.23601634101942182,0.23601634101942182,2216.79820754323,0.008114923241237193,79.16082746231751,51.52687613666788,0.0,3.6002651810139032,,,,,,,,,,
5,0.375,0.02495763756910406,228.4474726502838,167.28353318418226,876.2030562244455,0.004675908532417488,gas,1.0,0.28345761974924244,0.28345761974924244,2659.9056199094807,0.008149175560276944,78.90347207388116,51.52687613666788,0.0,3.6002651810139032,,,,,,,,,,
6,0.44999999999999996,0.025015769960870092,228.4474251281569,167.27534931450765,874.166909449403,0.004675908532417489,gas,1.0,0.3309797466499731,0.3309797466499731,3102.9270898662307,0.008183869674610378,78.64463836459495,51.52687613666788,0.0,3.6002651810139032,,,,,,,,,,
7,0.525,0.025074425196118837,228.4473775245136,167.26713029934547,872.1220184770523,0.004675908532417488,gas,1.0,0.37858338994556107,0.37858338994556107,3545.8617861890907,0.008219015162183041,78.38430546337764,51.52687613666788,0.0,3.6002651810139032,,,,,,,,,,
8,0.6,0.025133612044762735,228.44732983867496,167.25887567745167,870.0682685498758,0.004675908532417488,gas,1.0,0.4262692285992671,0.4262692285992671,3988.7088610836745,0.008254621893797776,78.12245202502245,51.52687613666788,0.0,3.6002651810139032,,,,,,,,,,
9,0.6749999999999999,0.02519333949673394,228.44728206995103,167.2505849774064,868.0055423786108,0.004675908532417489,gas,1.0,0.4740379525173921,0.4740379525173921,4431.467449700413,0.008290700045279209,77.85905621526148,51.52687613666788,0.0,3.6002651810139032,,,,,,,,,,
10,0.75,0.025253616769410705,228.4472342176407,167.24225771729698,865.9337200633898,0.004675908532417488,gas,1.0,0.5218902628694195,0.5218902628694195,4874.136669630654,0.008327260109410872,77.5940956952073,51.52687613666788,0.0,3.6002651810139032,,,,,,,,,,
11,0.825,0.0253144533153612,228.44718628103124,167.2338934043882,863.8526790116855,0.004675908532417487,gas,1.0,0.5698268723208457,0.5698268723208457,5316.715620383146,0.008364312908781812,77.32754760516781,51.52687613666788,0.0,3.6002651810139032,,,,,,,,,,
12,0.8999999999999999,0.025375858830420987,228.4471382593982,167.22549153477894,861.7622938529024,0.004675908532417488,gas,1.0,0.6178485053533223,0.6178485053533223,5759.203382839974,0.008401869609258483,77.05938854779208,51.52687613666788,0.0,3.6002651810139032,,,,,,,,,,
13,0.975,0.02543784326212177,228.44709015200502,167.2170515930448,859.6624363494491,0.004675908532417488,gas,1.0,0.6659558985265903,0.6659558985265903,6201.599018690925,0.008439941734138756,76.78959457051431,51.52687613666788,0.0,3.6002651810139032,,,,,,,,,,
14,1.05,0.0255004168184893,228.4470419581027,167.20857305186587,857.5529753041316,0.004675908532417487,gas,1.0,0.7141498008568306,0.7141498008568306,6643.901569845226,0.00847854117893121,76.51814114725934,51.52687613666788,0.0,3.6002651810139032,,,,,,,,,,
15,1.125,0.02556358997723076,228.44699367692948,167.20005537163888,855.4337764636576,0.004675908532417488,gas,1.0,0.7624309740785975,0.7624309740785975,7086.110057819542,0.008517680226987068,76.24500315937512,51.52687613666788,0.0,3.6002651810139032,,,,,,,,,,
16,1.2,0.025627373495332458,228.44694530771062,167.19149800007295,853.3047024180553,0.004675908532417489,gas,1.0,0.8108001929358579,0.8108001929358579,7528.223483101026,0.008557371565927951,75.97015487574886,51.52687613666788,0.0,3.6002651810139032,,,,,,,,,,
17,1.275,0.02569177841908933,228.44689684965795,167.18290037176814,851.1656124958183,0.004675908532417488,gas,1.0,0.8592582456185482,0.8592582456185482,7970.240824484163,0.008597628304812588,75.69356993206398,51.52687613666788,0.0,3.6002651810139032,,,,,,,,,,
18,1.3499999999999999,0.02575681609459158,228.44684830196954,167.1742619077757,849.0163626544997,0.004675908532417489,gas,1.0,0.907805934024509,0.907805934024509,8412.161038380069,0.008638463992440393,75.4152213091566,51.52687613666788,0.0,3.6002651810139032,,,,,,,,,,
19,1.425,0.025822498178692817,228.44679966382935,167.1655820151392,846.8568053665371,0.004675908532417489,gas,1.0,0.9564440741960425,0.9564440741960425,8853.983058096825,0.008679892636507702,75.13508131041581,51.52687613666788,0.0,3.6002651810139032,,,,,,,,,,
20,1.5,0.025888836650484894,228.44675093440688,167.15686008641563,844.6867895001159,0.004675908532417488,gas,1.0,1.0051734966691583,1.0051734966691583,9295.705793089324,0.008721928723559813,74.85312153817966,51.52687613666788,0.0,3.6002651810139032,,,,,,,,,,
