step,distance,u,P[kPa],T,rho,m_dot,phase,x,h_in,P_loss_mix,LM_C,LM_X,Delta_P_2p,P_loss_all_phase,Q_release_mix,Delta_T,G_in_mix,G_pipe_mix,R_insu_mix,G_ex_mix
start,start,3.5517833970986614,228.33393953468425,41.82447623249533,12.313790492998113,0.009351817064834976,,,,,,,,,,,,,,
0,0.0,1.3620740532124627,228.3242384948983,41.824242441835565,-,0.0013753014492370265,mix,0.38348726731032456,411.2993371456998,9.701039785926696,20.0,0.1323021211543843,9.701039785928597,9.701039785926696,0.024294764075709477,0.0002337906597631445,27.368929180904964,103.05375227333576,485.4955599291535,1.1224910551276333
1,0.15,1.3621033809176148,228.31191108114487,41.82302981186234,-,0.0013752523226656982,mix,0.383480418054533,411.2964309560809,22.028453539358452,20.0,0.13230784347767027,12.327413753424185,22.028453539358452,0.04858904769098369,0.001212629973224466,12.713377624084053,103.05375227333576,485.4955599291535,1.1224910551276333
2,0.3,1.3621543543906753,228.29958351132706,41.82148888514314,-,0.0013752175649632626,mix,0.3834755720410925,411.2946188407627,34.35602335719159,20.0,0.13230832357498937,12.32756981784571,34.35602335719159,0.07288083974794596,0.0015409267192012521,12.713557661655194,103.05375227333576,485.4955599291535,1.1224910551276333
3,0.44999999999999996,1.3622051728134803,228.28725568596838,41.81994050161819,-,0.0013751831471627348,mix,0.38347077335735597,411.29317399781314,46.683848715852946,20.0,0.13230704455704187,12.327825358662208,46.683848715852946,0.09716946573663718,0.001548383524948349,12.713888779636662,103.05375227333576,485.4955599291535,1.1224910551276333
4,0.6,1.3622511982101726,228.27492760482227,41.81817938370983,-,0.0013751580465460368,mix,0.3834672736792081,411.29175037391013,59.01192986196838,20.0,0.13230575863521782,12.32808114611723,59.01192986196838,0.1214549103370002,0.0017611179083587558,12.714215942279823,103.05375227333576,485.4955599291535,1.1224910551276333
5,0.75,1.3622972368466815,228.26259926229574,41.816418229260364,-,0.001375132962463211,mix,0.3834637762744032,411.29092043566334,71.34027238850831,20.0,0.13230430837758234,12.328342526547543,71.34027238850831,0.14573673648399765,0.0017611544494684495,12.714427443926862,103.05375227333576,485.4955599291535,1.1224910551276333
6,0.8999999999999999,1.3623432887686098,228.2502706583321,41.81465703747085,-,0.0013751078949486362,mix,0.3834602811477972,411.2900910590514,83.66887635213789,20.0,0.13230285680171394,12.328603963620925,83.66887635213789,0.1700149441025821,0.0017611917895123952,12.714639034928657,103.05375227333576,485.4955599291535,1.1224910551276333
7,1.05,1.362389353978187,228.23794179287455,41.81289580833317,-,0.0013750828440021149,mix,0.38345678829942464,411.28926224511866,95.99774180969689,20.0,0.13230140390380923,12.328865457559786,95.99774180969689,0.1942895331160647,0.0017612291376849498,12.714850715560779,103.05375227333576,485.4955599291535,1.1224910551276333
8,1.2,1.3624354324776404,228.22561266586615,41.81113454183924,-,0.0013750578096234471,mix,0.38345329772932,411.28843399386085,108.32686881808331,20.0,0.13229994968384634,12.329127008374344,108.32686881808331,0.21856050344773983,0.00176126649392927,12.715062485834286,103.05375227333576,485.4955599291535,1.1224910551276333
