step,distance,u,P[kPa],T,rho,m_dot,phase,x,P_loss_gas,P_loss_all_phase,Q_release_gas,Delta_T,G_in_gas,G_pipe_gas,R_insu_gas,G_ex_gas
start,start,0.046239163222631614,205.75514408512657,167.2459842720774,866.8608868927602,0.014552116912929782,,,,,,,,,,
0,0.0,0.04623918923002435,205.75494539496998,167.24598231239526,866.8603993238409,0.014552116912929784,gas,1.0,0.19869015659787692,0.19869015659787692,0.32337761559467854,1.9596821516643104e-06,310.82680392988027,90.46181748049385,423.55360010093545,1.1818671562804803
1,0.15,0.04623921523747424,205.75474670473108,167.245980352711,866.8599117543982,0.014552116912929788,gas,1.0,0.3973803955013864,0.3973803955013864,0.646755226569988,1.9596842548708082e-06,310.8265521566478,90.46181748049385,423.55360010093545,1.1818671562804803
2,0.3,0.04623924124498205,205.75454801440986,167.2459783930246,866.8594241844182,0.014552116912929784,gas,1.0,0.5960707167105284,0.5960707167105284,0.9701328329259233,1.959686414920725e-06,310.8263003830514,90.46181748049385,423.55360010093545,1.1818671562804803
3,0.44999999999999996,0.04623926725254704,205.75434932400637,167.24597643333607,866.8589366139149,0.014552116912929784,gas,1.0,0.7947611202253029,0.7947611202253029,1.2935104346624795,1.9596885181272228e-06,310.82604860908384,90.46181748049385,423.55360010093545,1.1818671562804803
4,0.6,0.0462392932601692,205.75415063352054,167.24597447364545,866.8584490428883,0.014552116912929788,gas,1.0,0.9934516060457099,0.9934516060457099,1.6168880317796517,1.9596906213337206e-06,310.8257968347525,90.46181748049385,423.55360010093545,1.1818671562804803
5,0.75,0.046239319267848515,205.75395194295243,167.24597251395272,866.8579614713385,0.014552116912929788,gas,1.0,1.1921421741717495,1.1921421741717495,1.9402656242774348,1.9596927245402185e-06,310.8255450600574,90.46181748049385,423.55360010093545,1.1818671562804803
6,0.8999999999999999,0.04623934527558501,205.75375325230198,167.2459705542579,866.8574738992653,0.014552116912929784,gas,1.0,1.3908328246034216,1.3908328246034216,2.2636432121558236,1.9596948277467163e-06,310.82529328499834,90.46181748049385,423.55360010093545,1.1818671562804803
7,1.05,0.04623937128337942,205.75355456156922,167.2459685945609,866.8569863266548,0.014552116912929784,gas,1.0,1.58952355736983,1.58952355736983,2.587020795414814,1.959696987796633e-06,310.82504150957544,90.46181748049385,423.55360010093545,1.1818671562804803
8,1.2,0.046239397291231,205.75335587075415,167.24596663486182,866.8564987535209,0.014552116912929784,gas,1.0,1.788214372441871,1.788214372441871,2.9103983740543997,1.959699091003131e-06,310.82478973378153,90.46181748049385,423.55360010093545,1.1818671562804803
9,1.3499999999999999,0.04623942329913975,205.75315717985677,167.24596467516062,866.8560111798638,0.014552116912929784,gas,1.0,1.9869052698195446,1.9869052698195446,3.2337759480745767,1.9597011942096287e-06,310.8245379576237,90.46181748049385,423.55360010093545,1.1818671562804803
10,1.5,0.046239449307105676,205.75295848887708,167.24596271545732,866.8555236056834,0.014552116912929784,gas,1.0,2.1855962495028507,2.1855962495028507,3.5571535174753395,1.9597032974161266e-06,310.824286181102,90.46181748049385,423.55360010093545,1.1818671562804803
11,1.65,0.04623947531512876,205.7527597978151,167.24596075575192,866.8550360309797,0.014552116912929782,gas,1.0,2.3842873114917893,2.3842873114917893,3.880531082256683,1.9597054006226244e-06,310.82403440421655,90.46181748049385,423.55360010093545,1.1818671562804803
12,1.7999999999999998,0.04623950132320978,205.75256110667078,167.24595879604436,866.8545484557386,0.014552116912929784,gas,1.0,2.5829784558154643,2.5829784558154643,4.203908642418603,1.959707560672541e-06,310.8237826269671,90.46181748049385,423.55360010093545,1.1818671562804803
13,1.95,0.046239527331347965,205.75236241544414,167.2459568363347,866.8540608799742,0.014552116912929784,gas,1.0,2.7816696824447718,2.7816696824447718,4.527286197961094,1.959709663879039e-06,310.82353084934675,90.46181748049385,423.55360010093545,1.1818671562804803
14,2.1,0.04623955333954333,205.75216372413522,167.24595487662293,866.8535733036865,0.014552116912929784,gas,1.0,2.9803609913797118,2.9803609913797118,4.850663748884151,1.959711767085537e-06,310.82327907136226,90.46181748049385,423.55360010093545,1.1818671562804803
15,2.25,0.04623957934779585,205.75196503274395,167.24595291690906,866.8530857268756,0.014552116912929784,gas,1.0,3.1790523826202843,3.1790523826202843,5.174041295187769,1.9597138702920347e-06,310.8230272930142,90.46181748049385,423.55360010093545,1.1818671562804803
16,2.4,0.046239605356105544,205.7517663412704,167.2459509571931,866.8525981495414,0.014552116912929784,gas,1.0,3.3777438561664894,3.3777438561664894,5.497418836871943,1.9597159734985325e-06,310.82277551430224,90.46181748049385,423.55360010093545,1.1818671562804803
17,2.55,0.04623963136447317,205.75156764971453,167.24594899747495,866.8521105716698,0.014552116912929784,gas,1.0,3.576435412047431,3.576435412047431,5.820796373936668,1.9597181335484493e-06,310.82252373522635,90.46181748049385,423.55360010093545,1.1818671562804803
