step,distance,u,P[kPa],T,rho,m_dot,phase,x,P_loss_gas,P_loss_all_phase,Q_release_gas,Delta_T,G_in_gas,G_pipe_gas,R_insu_gas,G_ex_gas,h_in,P_loss_mix,LM_C,LM_X,Delta_P_2p,Q_release_mix,G_in_mix,G_pipe_mix,R_insu_mix,G_ex_mix,P_loss_liq,Q_release_liq,G_in_liq,G_pipe_liq,R_insu_liq,G_ex_liq
start,start,0.7886026973051338,226.0465205340092,49.50101583906388,15.440507919531939,0.0026036200688081407,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0.0,0.8170041796472352,226.04591404000672,48.276875461095244,14.903750184438085,0.0026036200688081407,gas,1.0,0.6064940024807584,0.6064940024807584,2.8369619120220535,1.224140377968638,0.15205093371557774,51.52687613666788,0.0,3.6002651810139032,,,,,,,,,,,,,,,,
1,0.075,0.8446863708364825,226.0452862964604,47.130805498661005,14.415322199464402,0.0026036200688081407,gas,1.0,1.2342375488078687,1.2342375488078687,5.483441806537371,1.1460699624342396,0.15131012304918542,51.52687613666788,0.0,3.6002651810139032,,,,,,,,,,,,,,,,
2,0.15,0.8716711658112444,226.0446378687051,46.05764821497178,13.96905928598871,0.0026036200688081407,gas,1.0,1.8826653040887322,1.8826653040887322,7.953285558390991,1.073157283689227,0.15062911276373087,51.52687613666788,0.0,3.6002651810139032,,,,,,,,,,,,,,,,
3,0.22499999999999998,0.8978955581719641,226.043969280704,45.05267966659255,13.561071866637018,0.0026036200688081402,gas,1.0,2.5512533051951323,2.5512533051951323,10.259008811686787,1.0049685483792246,0.14999043373780163,51.52687613666788,0.0,3.6002651810139032,,,,,,,,,,,,,,,,
4,0.3,0.9233257386778572,226.04328112445563,44.11143415572934,13.187573662291731,0.0026036200688081407,gas,1.0,3.239409553585574,3.239409553585574,12.412306297821253,0.9412455108632116,0.14940179026034311,51.52687613666788,0.0,3.6002651810139032,,,,,,,,,,,,,,,,
5,0.375,0.9479552481500068,226.04257399287636,43.22984448268318,12.844937793073264,0.0026036200688081407,gas,1.0,3.9465411328419577,3.9465411328419577,14.423709089861957,0.8815896730461645,0.1488415728672776,51.52687613666788,0.0,3.6002651810139032,,,,,,,,,,,,,,,,
6,0.44999999999999996,0.9717355046372436,226.04184850860628,42.40399299885809,12.530597199543223,0.0026036200688081402,gas,1.0,4.6720254029205535,4.6720254029205535,16.303243967602054,0.8258514838250903,0.1483299211794544,51.52687613666788,0.0,3.6002651810139032,,,,,,,,,,,,,,,,
7,0.525,0.9946334523115562,226.04110530107204,41.63031034022083,12.242124136088334,0.0026036200688081407,gas,1.0,5.415232937171822,5.415232937171822,18.059944711811884,0.7736826586372558,0.14784599598915943,51.52687613666788,0.0,3.6002651810139032,,,,,,,,,,,,,,,,
8,0.6,1.0167213068992578,226.04034505209802,40.905422489618104,11.97616899584723,0.0026036200688081407,gas,1.0,6.175481911195675,6.175481911195675,19.702283799681855,0.7248878506027268,0.1473972355878815,51.52687613666788,0.0,3.6002651810139032,,,,,,,,,,,,,,,,
9,0.6749999999999999,0.9187678457004709,226.03956835409372,41.50433500744259,-,0.002204780664868022,mix,0.920224709529049,,6.95217991550453,,-0.5989125178244876,,,,,536575.4390702016,0.7766980043088552,12.0,0.001,0.7766980043102448,36.6391429277319,5.023573910807957,51.52687613666788,0.0,3.6002651810139032,,,,,,
10,0.75,0.8706087601601787,226.0387570139548,41.50422405058481,-,0.001979687864155813,mix,0.8719860861623983,,7.763520054402761,,0.00011095685778172992,,,,,1257.603488270167,1.5880381432070863,20.0,0.01021813803894866,0.8113401388909816,59.570002646984506,4.636735524478971,51.52687613666788,0.0,3.6002651810139032,,,,,,
11,0.825,0.8254592735968346,226.0379341746095,41.504108144850704,-,0.001779666621897141,mix,0.8267620289479293,,8.586359399720095,,0.00011590573410558136,,,,,1080.902247863169,2.41087748852442,20.0,0.01620120503424472,0.8228393453243983,81.06789561899704,4.4412583876040745,51.52687613666788,0.0,3.6002651810139032,,,,,,
12,0.8999999999999999,0.7822276260728379,226.0371064946318,41.50399059637283,-,0.0015981233772649052,mix,0.7834591318449182,,9.414039377414156,,0.00011754847787415201,,,,,982.870687898967,3.238557466218481,20.0,0.022118054820559584,0.8276799776849173,101.6525722777905,4.256023835371926,51.52687613666788,0.0,3.6002651810139032,,,,,,
13,0.975,0.7403956907908659,226.0362786386527,41.50387235637601,-,0.001431753986015537,mix,0.741558462285681,,10.241895356506575,,0.00011823999682292197,,,,,917.3362130906961,4.0664134453109,20.0,0.028182160966901248,0.8278559790915433,121.57070823349066,4.076748928874379,51.52687613666788,0.0,3.6002651810139032,,,,,,
14,1.05,0.6996605628630428,226.03545432754265,41.50375409123609,-,0.0012785333385426346,mix,0.7007566427183004,,11.066206466552103,,0.00011826513991763932,,,,,869.1434469076037,4.890724555356428,20.0,0.03452073438712675,0.8243111100568085,140.96651411695296,3.9013819139117727,51.52687613666788,0.0,3.6002651810139032,,,,,,
15,1.125,0.6598242316903697,226.03463674268346,41.50363633250612,-,0.0011370784620398603,mix,0.6608553519513239,,11.883791325759375,,0.00011775872997077386,,,,,831.5513294838277,5.708309414563701,20.0,0.04123721890934707,0.8175848592084021,159.93426155607614,3.728697838936728,51.52687613666788,0.0,3.6002651810139032,,,,,,
