step,distance,u,P[kPa],T,rho,m_dot,phase,x,P_loss_gas,P_loss_all_phase,Q_release_gas,Delta_T,G_in_gas,G_pipe_gas,R_insu_gas,G_ex_gas,h_in,P_loss_mix,LM_C,LM_X,Delta_P_2p,Q_release_mix,G_in_mix,G_pipe_mix,R_insu_mix,G_ex_mix,P_loss_liq,Q_release_liq,G_in_liq,G_pipe_liq,R_insu_liq,G_ex_liq
start,start,1.7570386981458277,224.25219775761394,70.43294365053032,27.28706055537122,0.010251699114843455,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0.0,1.8403277667465152,224.24835790168513,68.64587138129826,26.052109966908755,0.010251699114843455,gas,1.0,3.8398559288179968,3.8398559288179968,17.444105691015118,1.7870722692320555,0.4948798735139755,51.52687613666788,0.0,3.6002651810139032,,,,,,,,,,,,,,,,
1,0.075,1.924259315788797,224.24434176067606,66.93796630227678,24.91577978136607,0.010251699114843455,gas,1.0,7.8559969378693495,7.8559969378693495,34.01129041546716,1.7079050790214865,0.4912770891764614,51.52687613666788,0.0,3.6002651810139032,,,,,,,,,,,,,,,,
2,0.15,2.0087271959242385,224.2401481543689,65.30580008426398,23.86806005898478,0.010251699114843455,gas,1.0,12.049603245017352,12.049603245017352,49.75089341396768,1.6321662180127987,0.4878876443437456,51.52687613666788,0.0,3.6002651810139032,,,,,,,,,,,,,,,,
3,0.22499999999999998,2.093582604972506,224.23577612603538,63.7460983569203,22.900659014152176,0.010251699114843455,gas,1.0,16.421631578559754,16.421631578559754,64.70863623817573,1.559701727343679,0.4846828482306333,51.52687613666788,0.0,3.6002651810139032,,,,,,,,,,,,,,,,
4,0.3,2.1786529576810603,224.23122503704167,62.25575304000955,22.006451824005715,0.010251699114843455,gas,1.0,20.972720572259277,20.972720572259277,78.9270018606216,1.490345316910748,0.4816372272390809,51.52687613666788,0.0,3.6002651810139032,,,,,,,,,,,,,,,,
5,0.375,2.263879167380097,224.2264945794363,60.83165808822014,21.17799485293206,0.010251699114843455,gas,1.0,25.703178177645896,25.703178177645896,92.44687568693107,1.4240949517894137,0.4787808745061254,51.52687613666788,0.0,3.6002651810139032,,,,,,,,,,,,,,,,
6,0.44999999999999996,2.3490132653040434,224.221584594805,59.470903025620146,20.41045151281006,0.010251699114843455,gas,1.0,30.613162808935158,30.613162808935158,105.30568402239534,1.360755062599992,0.4760674708864662,51.52687613666788,0.0,3.6002651810139032,,,,,,,,,,,,,,,,
7,0.525,2.4339279872264927,224.2164953395484,58.17074600567736,19.69837300283867,0.010251699114843455,gas,1.0,35.70241806554259,35.70241806554259,117.5383766624558,1.3001570199427874,0.47347876120041843,51.52687613666788,0.0,3.6002651810139032,,,,,,,,,,,,,,,,
8,0.6,2.518588938287986,224.21122756250946,56.928446539867764,19.036223269933878,0.010251699114843455,gas,1.0,40.970195104484446,40.970195104484446,129.17856227680466,1.2422994658095945,0.4710395631977561,51.52687613666788,0.0,3.6002651810139032,,,,,,,,,,,,,,,,
