step,distance,u,P[kPa],T,rho,m_dot,phase,x,P_loss_gas,P_loss_all_phase,Q_release_gas,Delta_T,G_in_gas,G_pipe_gas,R_insu_gas,G_ex_gas
start,start,0.04526524875287848,162.47127209549814,167.04901392736105,817.8546651273404,0.007915872973392132,,,,,,,,,,
0,0.0,0.045342464542949865,162.47114648204007,167.0434160064711,816.46190240992,0.007915872973392132,gas,1.0,0.12561345807625912,0.12561345807625912,447.2796203756676,0.005597920889954366,108.21328694323275,51.52687613666788,0.0,3.6002651810139032
1,0.075,0.045420208064871175,162.471020710982,167.03779905540648,815.0644049850454,0.007915872973392132,gas,1.0,0.2513845161302015,0.2513845161302015,894.505473948833,0.005616951064610021,107.92924446930998,51.52687613666788,0.0,3.6002651810139032
2,0.15,0.04549848613638851,162.47089478132412,167.0321628771224,813.662123827967,0.007915872973392132,gas,1.0,0.37731417402392253,0.37731417402392253,1341.6771567871795,0.005636178284078142,107.64390690859575,51.52687613666788,0.0,3.6002651810139032
3,0.22499999999999998,0.0455773057077659,162.47076869205404,167.0265072711506,812.255009062181,0.007915872973392132,gas,1.0,0.5034034441050608,0.5034034441050608,1788.7942586077672,0.005655605971810473,107.35725970612242,51.52687613666788,0.0,3.6002651810139032
4,0.3,0.04565667386526029,162.47064244214673,167.0208320335155,810.8430099385677,0.007915872973392132,gas,1.0,0.6296533514105249,0.6296533514105249,2235.856362630149,0.005675237635102803,107.06928804343654,51.52687613666788,0.0,3.6002651810139032
5,0.375,0.04573659783471177,162.47051603056417,167.01513695664772,809.4260748138677,0.007915872973392132,gas,1.0,0.756064933957532,0.756064933957532,2682.8630454250115,0.005695076867766602,106.7799768319805,51.52687613666788,0.0,3.6002651810139032
6,0.44999999999999996,0.04581708498525287,162.4703894562552,167.00942182929492,808.0041511284912,0.007915872973392132,gas,1.0,0.8826392429473344,0.8826392429473344,3129.813876758177,0.005715127352800664,106.48931070625915,51.52687613666788,0.0,3.6002651810139032
7,0.525,0.045898142833144515,162.47026271815508,167.00368643642952,806.577185383579,0.007915872973392132,gas,1.0,1.0093773430562578,1.0093773430562578,3576.7084194297836,0.00573539286540381,106.19727401678982,51.52687613666788,0.0,3.6002651810139032
8,0.6,0.04597977904574003,162.47013581518544,166.9979305591537,805.1451231173561,0.007915872973392132,gas,1.0,1.136280312697636,1.136280312697636,4023.546229108467,0.005755877275817056,105.90385082281367,51.52687613666788,0.0,3.6002651810139032
9,0.6749999999999999,0.04606200144558658,162.47000874625388,166.99215397460114,803.7079088806786,0.007915872973392132,gas,1.0,1.2633492442546412,1.2633492442546412,4470.326854160339,0.0057765845525636905,105.6090248847743,51.52687613666788,0.0,3.6002651810139032
10,0.75,0.04614481801466515,162.46988151025377,166.98635645583562,802.2654862118178,0.007915872973392132,gas,1.0,1.390585244371323,1.390585244371323,4917.049835472577,0.0057975187655188165,105.31277965654009,51.52687613666788,0.0,3.6002651810139032
11,0.825,0.04622823689878066,162.46975410606385,166.98053777174613,800.817797610353,0.007915872973392132,gas,1.0,1.5179894343018532,1.5179894343018532,5363.714706271392,0.005818684089490489,105.01509827737367,51.52687613666788,0.0,3.6002651810139032
12,0.8999999999999999,0.04631226641210073,162.46962653254806,166.97469768693873,799.3647845102714,0.007915872973392132,gas,1.0,1.64556295008515,1.64556295008515,5810.3209919341725,0.0058400848074029454,104.7159635636204,51.52687613666788,0.0,3.6002651810139032
13,0.975,0.046396915041859554,162.46949878855514,166.9688359616244,797.9063872520658,0.007915872973392132,gas,1.0,1.773306942981435,1.773306942981435,6256.868209795565,0.005861725314332489,104.41535800013035,51.52687613666788,0.0,3.6002651810139032
